category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Underground Mining Machine Operators,8.05,0.00,8.05,5.44,415.00,0,346.00,0,405.00,0,390.00,0,0,None (0/4)
Urban and Regional Planners,41.57,16.49,35.58,23.82,137.00,0,170.00,0,93.00,0,207.00,0,0,None (0/4)
"Ushers, Lobby Attendants, and Ticket Takers",36.90,4.87,30.50,34.44,177.00,0,284.00,0,149.00,0,127.00,0,0,None (0/4)
Veterinarians,30.62,7.14,22.49,8.14,217.00,0,253.00,0,230.00,0,371.00,0,0,None (0/4)
Waiters and Waitresses,39.41,4.02,37.94,27.89,152.00,0,296.00,0,77.00,0,176.00,0,0,None (0/4)
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,0.00,16.84,436.00,0,346.00,0,436.00,0,274.00,0,0,None (0/4)
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",24.45,15.81,19.46,29.56,273.00,0,172.00,0,272.00,0,160.00,0,0,None (0/4)
"Welding, Soldering, and Brazing Workers",15.71,0.00,15.71,8.35,353.00,0,346.00,0,321.00,0,367.00,0,0,None (0/4)
Wind Turbine Service Technicians,29.01,0.00,29.01,14.69,231.00,0,346.00,0,164.00,0,292.00,0,0,None (0/4)
"Woodworking Machine Setters, Operators, and Tenders",24.35,1.99,24.35,9.87,275.00,0,328.00,0,214.00,0,349.00,0,0,None (0/4)
Writers and Editors,60.01,49.44,45.97,46.71,33.00,0,41.00,0,13.00,1,68.00,0,1,Single-source (1/4)
