title_current,pct,skill_similarity,major,job_zone,outlook,emp_nat
Nursing Assistants,18.82,0.71,Healthcare Support Occupations,3.00,2.00,1388430.00
Medical Transcriptionists,82.69,0.71,Healthcare Support Occupations,3.00,1.00,43070.00
"Explosives Workers, Ordnance Handling Experts, and Blasters",13.67,0.71,Construction and Extraction Occupations,2.00,3.00,11754.46
Photonics Engineers,60.71,0.71,Architecture and Engineering Occupations,4.00,5.00,37057.00
"Captains, Mates, and Pilots of Water Vessels",28.57,0.71,Transportation and Material Moving Occupations,3.00,2.00,35390.00
Photographic Process Workers and Processing Machine Operators,57.22,0.71,Production Occupations,2.00,1.00,5550.00
Avionics Technicians,39.85,0.71,"Installation, Maintenance, and Repair Occupations",3.00,3.00,20900.00
Biological Technicians,71.71,0.71,"Life, Physical, and Social Science Occupations",4.00,2.00,76190.00
Dental Laboratory Technicians,14.43,0.71,Production Occupations,2.00,2.00,33920.00
Weatherization Installers and Technicians,31.10,0.70,Construction and Extraction Occupations,2.00,3.00,16765.00
Aerospace Engineering and Operations Technologists and Technicians,42.44,0.70,Architecture and Engineering Occupations,3.00,3.00,9060.00
"Cooks, Institution and Cafeteria",28.22,0.70,Food Preparation and Serving Related Occupations,2.00,2.00,448260.00
Railroad Conductors and Yardmasters,26.48,0.70,Transportation and Material Moving Occupations,2.00,2.00,42710.00
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",55.17,0.70,"Installation, Maintenance, and Repair Occupations",3.00,4.00,59990.00
Tour Guides and Escorts,43.85,0.70,Personal Care and Service Occupations,3.00,2.00,24505.00
Driver/Sales Workers,50.33,0.70,Transportation and Material Moving Occupations,2.00,2.00,417420.00
Security Guards,60.43,0.70,Protective Service Occupations,2.00,2.00,1241770.00
Chemical Engineers,57.92,0.70,Architecture and Engineering Occupations,4.00,5.00,20330.00
Pharmacy Aides,66.05,0.70,Healthcare Support Occupations,2.00,1.00,41100.00
"Electrical and Electronics Installers and Repairers, Transportation Equipment",36.08,0.69,"Installation, Maintenance, and Repair Occupations",3.00,3.00,7310.00
Merchandise Displayers and Window Trimmers,49.75,0.69,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,192480.00
"Office Machine Operators, Except Computer",53.09,0.69,Office and Administrative Support Occupations,2.00,1.00,24740.00
Mechanical Drafters,69.62,0.68,Architecture and Engineering Occupations,3.00,4.00,39900.00
"Cooks, Private Household",41.72,0.68,Food Preparation and Serving Related Occupations,3.00,2.00,900.00
Payroll and Timekeeping Clerks,73.89,0.68,Office and Administrative Support Occupations,3.00,3.00,156950.00
Floral Designers,43.14,0.68,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,40160.00
Telephone Operators,71.71,0.68,Office and Administrative Support Occupations,2.00,2.00,3950.00
Histology Technicians,4.99,0.68,Healthcare Practitioners and Technical Occupations,3.00,4.00,57173.33
Gas Plant Operators,32.89,0.67,Production Occupations,2.00,3.00,15910.00
Musicians and Singers,28.94,0.67,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,0.00,38350.00
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",14.94,0.67,Building and Grounds Cleaning and Maintenance Occupations,2.00,1.00,25200.00
"Shipping, Receiving, and Inventory Clerks",51.03,0.67,Office and Administrative Support Occupations,2.00,2.00,857630.00
Mechatronics Engineers,61.27,0.67,Architecture and Engineering Occupations,4.00,5.00,13659.00
Manufactured Building and Mobile Home Installers,26.17,0.67,"Installation, Maintenance, and Repair Occupations",2.00,2.00,2610.00
Personal Care Aides,48.61,0.67,Healthcare Support Occupations,2.00,2.00,1994070.00
Chemical Equipment Operators and Tenders,28.15,0.67,Production Occupations,2.00,3.00,127410.00
Security and Fire Alarm Systems Installers,37.72,0.67,"Installation, Maintenance, and Repair Occupations",3.00,3.00,81510.00
Electricians,43.47,0.67,Construction and Extraction Occupations,3.00,4.00,742580.00
Telemarketers,98.17,0.66,Sales and Related Occupations,2.00,1.00,66430.00
Court Reporters and Simultaneous Captioners,57.07,0.66,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,12630.00
"Fine Artists, Including Painters, Sculptors, and Illustrators",70.70,0.66,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,10000.00
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",48.16,0.66,Office and Administrative Support Occupations,2.00,2.00,49720.00
Locomotive Engineers,23.14,0.66,Transportation and Material Moving Occupations,2.00,2.00,31990.00
Water and Wastewater Treatment Plant and System Operators,16.84,0.66,Production Occupations,2.00,3.00,126750.00
Robotics Technicians,49.93,0.66,Architecture and Engineering Occupations,3.00,3.00,7340.00
Medical Equipment Preparers,9.56,0.66,Healthcare Support Occupations,2.00,2.00,72760.00
Bakers,31.70,0.66,Production Occupations,2.00,2.00,231890.00
"Meter Readers, Utilities",48.12,0.66,Office and Administrative Support Occupations,2.00,2.00,19620.00
"Switchboard Operators, Including Answering Service",81.88,0.66,Office and Administrative Support Occupations,2.00,2.00,35730.00
Nuclear Power Reactor Operators,35.94,0.66,Production Occupations,3.00,4.00,5720.00
Word Processors and Typists,90.66,0.65,Office and Administrative Support Occupations,2.00,1.00,36030.00
Couriers and Messengers,38.11,0.65,Office and Administrative Support Occupations,2.00,2.00,71920.00
Electro-Mechanical and Mechatronics Technologists and Technicians,38.87,0.65,Architecture and Engineering Occupations,3.00,3.00,7340.00
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",14.70,0.65,Production Occupations,2.00,2.00,32890.00
Commercial Divers,24.28,0.65,"Installation, Maintenance, and Repair Occupations",3.00,2.00,3430.00
Solar Thermal Installers and Technicians,12.18,0.65,Construction and Extraction Occupations,3.00,4.00,217906.00
Riggers,32.31,0.65,"Installation, Maintenance, and Repair Occupations",2.00,2.00,24190.00
"Service Unit Operators, Oil and Gas",13.51,0.65,Construction and Extraction Occupations,2.00,3.00,44120.00
Telecommunications Line Installers and Repairers,39.65,0.65,"Installation, Maintenance, and Repair Occupations",2.00,3.00,98360.00
Baristas,51.91,0.65,Food Preparation and Serving Related Occupations,1.00,2.00,1976580.00
Team Assemblers,23.36,0.65,Production Occupations,2.00,2.00,728900.00
Agricultural Technicians,29.16,0.65,"Life, Physical, and Social Science Occupations",3.00,1.00,9848.10
Hydroelectric Plant Technicians,22.03,0.65,Production Occupations,3.00,4.00,2387.00
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",40.24,0.65,"Installation, Maintenance, and Repair Occupations",3.00,4.00,396870.00
Gambling Dealers,51.56,0.65,Personal Care and Service Occupations,2.00,2.00,82980.00
Log Graders and Scalers,26.20,0.64,"Farming, Fishing, and Forestry Occupations",2.00,1.00,3310.00
Subway and Streetcar Operators,30.70,0.64,Transportation and Material Moving Occupations,2.00,2.00,9200.00
Actors,79.63,0.64,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,0.00,38800.00
Proofreaders and Copy Markers,64.10,0.64,Office and Administrative Support Occupations,4.00,2.00,5160.00
"Inspectors, Testers, Sorters, Samplers, and Weighers",33.70,0.64,Production Occupations,2.00,3.00,591180.00
Biomass Plant Technicians,21.25,0.64,Production Occupations,2.00,4.00,6822.00
Geothermal Technicians,40.01,0.64,"Installation, Maintenance, and Repair Occupations",2.00,2.00,183690.00
Wind Turbine Service Technicians,33.26,0.64,"Installation, Maintenance, and Repair Occupations",3.00,3.00,11220.00
Gas Compressor and Gas Pumping Station Operators,51.97,0.64,Transportation and Material Moving Occupations,2.00,3.00,5110.00
Upholsterers,22.75,0.64,Production Occupations,2.00,2.00,20990.00
Light Truck Drivers,27.47,0.63,Transportation and Material Moving Occupations,2.00,3.00,994410.00
Computer Numerically Controlled Tool Programmers,62.09,0.63,Production Occupations,2.00,3.00,28230.00
Locksmiths and Safe Repairers,10.50,0.63,"Installation, Maintenance, and Repair Occupations",2.00,3.00,15550.00
Passenger Attendants,53.50,0.63,Transportation and Material Moving Occupations,2.00,2.00,25340.00
Animal Caretakers,50.19,0.63,Personal Care and Service Occupations,2.00,2.00,277300.00
Audiovisual Equipment Installers and Repairers,32.45,0.63,"Installation, Maintenance, and Repair Occupations",3.00,3.00,22170.00
Chemical Plant and System Operators,19.60,0.63,Production Occupations,2.00,4.00,17840.00
"Cooks, Short Order",53.26,0.63,Food Preparation and Serving Related Occupations,2.00,2.00,150420.00
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",56.92,0.63,Sales and Related Occupations,1.00,2.00,4590.00
"Mail Clerks and Mail Machine Operators, Except Postal Service",39.02,0.63,Office and Administrative Support Occupations,2.00,2.00,62730.00
Stonemasons,10.55,0.63,Construction and Extraction Occupations,2.00,3.00,8750.00
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",33.31,0.62,Production Occupations,2.00,4.00,34860.00
"Electronic Equipment Installers and Repairers, Motor Vehicles",39.28,0.62,"Installation, Maintenance, and Repair Occupations",3.00,3.00,10140.00
"Rail Yard Engineers, Dinkey Operators, and Hostlers",22.96,0.62,Transportation and Material Moving Occupations,2.00,2.00,3300.00
Elevator and Escalator Installers and Repairers,21.05,0.62,Construction and Extraction Occupations,3.00,4.00,23340.00
Butchers and Meat Cutters,44.81,0.62,Production Occupations,2.00,2.00,140040.00
Motorboat Operators,12.86,0.62,Transportation and Material Moving Occupations,2.00,2.00,2380.00
Home Appliance Repairers,38.87,0.62,"Installation, Maintenance, and Repair Occupations",2.00,2.00,31940.00
Ship Engineers,16.55,0.62,Transportation and Material Moving Occupations,3.00,2.00,8580.00
"Farmworkers, Farm, Ranch, and Aquacultural Animals",28.73,0.61,"Farming, Fishing, and Forestry Occupations",2.00,2.00,35420.00
Camera and Photographic Equipment Repairers,34.18,0.61,"Installation, Maintenance, and Repair Occupations",3.00,2.00,2010.00
Motorcycle Mechanics,22.62,0.61,"Installation, Maintenance, and Repair Occupations",3.00,3.00,14010.00
Carpenters,16.40,0.61,Construction and Extraction Occupations,2.00,4.00,697740.00
Cooling and Freezing Equipment Operators and Tenders,35.58,0.60,Production Occupations,2.00,2.00,6590.00
Funeral Attendants,40.19,0.60,Personal Care and Service Occupations,2.00,2.00,30560.00
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",29.58,0.60,Production Occupations,2.00,1.00,19500.00
Waiters and Waitresses,45.07,0.60,Food Preparation and Serving Related Occupations,2.00,2.00,2302690.00
Solar Photovoltaic Installers,38.80,0.59,Construction and Extraction Occupations,2.00,2.00,28280.00
Bailiffs,48.23,0.59,Protective Service Occupations,3.00,4.00,16910.00
"Bus Drivers, School",25.01,0.59,Transportation and Material Moving Occupations,2.00,3.00,292209.77
Cement Masons and Concrete Finishers,16.12,0.59,Construction and Extraction Occupations,1.00,4.00,205230.00
Animal Breeders,53.29,0.59,"Farming, Fishing, and Forestry Occupations",2.00,1.00,1730.00
Electrical Power-Line Installers and Repairers,21.94,0.59,"Installation, Maintenance, and Repair Occupations",2.00,4.00,123680.00
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",40.89,0.59,Office and Administrative Support Occupations,2.00,3.00,111930.00
"Rotary Drill Operators, Oil and Gas",17.98,0.59,Construction and Extraction Occupations,2.00,3.00,13090.00
"Control and Valve Installers and Repairers, Except Mechanical Door",29.17,0.59,"Installation, Maintenance, and Repair Occupations",3.00,4.00,46920.00
Barbers,19.47,0.59,Personal Care and Service Occupations,3.00,2.00,18100.00
Gambling Change Persons and Booth Cashiers,51.12,0.59,Sales and Related Occupations,2.00,2.00,21930.00
Data Entry Keyers,79.58,0.58,Office and Administrative Support Occupations,2.00,3.00,135280.00
Aircraft Mechanics and Service Technicians,18.25,0.58,"Installation, Maintenance, and Repair Occupations",3.00,4.00,136390.00
Sheet Metal Workers,31.58,0.58,Construction and Extraction Occupations,2.00,3.00,117470.00
Mechanical Door Repairers,22.66,0.58,"Installation, Maintenance, and Repair Occupations",2.00,3.00,27970.00
Stationary Engineers and Boiler Operators,35.57,0.58,Production Occupations,3.00,2.00,30780.00
Shuttle Drivers and Chauffeurs,27.69,0.57,Transportation and Material Moving Occupations,2.00,2.00,292209.77
"Tank Car, Truck, and Ship Loaders",33.08,0.57,Transportation and Material Moving Occupations,2.00,2.00,10920.00
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",23.19,0.57,Production Occupations,2.00,2.00,31510.00
Biofuels Processing Technicians,32.28,0.57,Production Occupations,2.00,4.00,15950.00
Farm Equipment Mechanics and Service Technicians,26.03,0.57,"Installation, Maintenance, and Repair Occupations",3.00,3.00,36880.00
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",53.60,0.57,"Installation, Maintenance, and Repair Occupations",3.00,3.00,23040.00
"Tailors, Dressmakers, and Custom Sewers",17.84,0.57,Production Occupations,2.00,1.00,16290.00
Food Batchmakers,33.14,0.57,Production Occupations,2.00,2.00,171660.00
Gem and Diamond Workers,29.86,0.56,Production Occupations,3.00,2.00,6190.00
Musical Instrument Repairers and Tuners,28.49,0.56,"Installation, Maintenance, and Repair Occupations",3.00,1.00,5730.00
"Locker Room, Coatroom, and Dressing Room Attendants",35.20,0.56,Personal Care and Service Occupations,2.00,1.00,14960.00
Fence Erectors,8.90,0.56,Construction and Extraction Occupations,2.00,3.00,22640.00
Gambling and Sports Book Writers and Runners,50.78,0.56,Personal Care and Service Occupations,2.00,2.00,7600.00
Recreational Vehicle Service Technicians,29.04,0.56,"Installation, Maintenance, and Repair Occupations",2.00,2.00,18710.00
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",21.32,0.56,Production Occupations,2.00,2.00,5310.00
Costume Attendants,39.41,0.56,Personal Care and Service Occupations,2.00,2.00,6290.00
Fiberglass Laminators and Fabricators,10.34,0.56,Production Occupations,2.00,2.00,18520.00
Craft Artists,69.94,0.56,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,1.00,4370.00
Medical Equipment Repairers,45.06,0.56,"Installation, Maintenance, and Repair Occupations",3.00,4.00,60830.00
"Ushers, Lobby Attendants, and Ticket Takers",52.29,0.55,Personal Care and Service Occupations,2.00,2.00,119210.00
Bicycle Repairers,30.25,0.55,"Installation, Maintenance, and Repair Occupations",2.00,1.00,12590.00
Postal Service Mail Carriers,36.80,0.55,Office and Administrative Support Occupations,2.00,4.00,336040.00
Fast Food and Counter Workers,35.37,0.55,Food Preparation and Serving Related Occupations,1.00,2.00,1804350.00
Amusement and Recreation Attendants,57.33,0.55,Personal Care and Service Occupations,1.00,2.00,371590.00
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",58.31,0.55,Food Preparation and Serving Related Occupations,1.00,2.00,427150.00
Baggage Porters and Bellhops,36.96,0.55,Personal Care and Service Occupations,2.00,1.00,31220.00
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",33.14,0.55,Production Occupations,2.00,1.00,22350.00
"Pump Operators, Except Wellhead Pumpers",44.03,0.55,Transportation and Material Moving Occupations,2.00,3.00,12600.00
Stockers and Order Fillers,44.66,0.54,Transportation and Material Moving Occupations,2.00,2.00,2779530.00
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",30.18,0.54,Production Occupations,2.00,3.00,28550.00
Bridge and Lock Tenders,22.87,0.54,Transportation and Material Moving Occupations,2.00,2.00,2720.00
Power Plant Operators,26.17,0.54,Production Occupations,2.00,4.00,21510.00
"Food Servers, Nonrestaurant",32.27,0.54,Food Preparation and Serving Related Occupations,2.00,2.00,271780.00
Millwrights,15.88,0.54,"Installation, Maintenance, and Repair Occupations",2.00,4.00,40660.00
Parking Attendants,24.40,0.54,Transportation and Material Moving Occupations,2.00,1.00,134650.00
Motion Picture Projectionists,41.51,0.54,Personal Care and Service Occupations,2.00,2.00,1950.00
Semiconductor Processing Technicians,33.29,0.54,Production Occupations,2.00,0.00,32150.00
Hoist and Winch Operators,28.06,0.54,Transportation and Material Moving Occupations,2.00,2.00,2480.00
Helpers--Carpenters,6.10,0.53,Construction and Extraction Occupations,2.00,2.00,24610.00
"Excavating and Loading Machine and Dragline Operators, Surface Mining",11.21,0.53,Construction and Extraction Occupations,2.00,3.00,34210.00
Automotive and Watercraft Service Attendants,25.26,0.53,Transportation and Material Moving Occupations,2.00,2.00,98270.00
Roofers,5.61,0.53,Construction and Extraction Occupations,2.00,4.00,136740.00
"Maintenance and Repair Workers, General",25.12,0.53,"Installation, Maintenance, and Repair Occupations",3.00,3.00,1531700.00
Cashiers,68.24,0.53,Sales and Related Occupations,2.00,2.00,3148030.00
"Layout Workers, Metal and Plastic",19.32,0.53,Production Occupations,2.00,2.00,5610.00
Print Binding and Finishing Workers,20.41,0.53,Production Occupations,2.00,2.00,36470.00
"Cooks, Restaurant",49.58,0.53,Food Preparation and Serving Related Occupations,2.00,2.00,1452130.00
"Mobile Heavy Equipment Mechanics, Except Engines",27.06,0.52,"Installation, Maintenance, and Repair Occupations",3.00,4.00,180270.00
Electrical and Electronic Equipment Assemblers,32.54,0.52,Production Occupations,2.00,2.00,91100.00
Boilermakers,16.31,0.52,Construction and Extraction Occupations,2.00,3.00,10170.00
Helpers--Electricians,15.52,0.52,Construction and Extraction Occupations,2.00,2.00,64440.00
Tile and Stone Setters,16.11,0.52,Construction and Extraction Occupations,2.00,4.00,38740.00
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",30.21,0.52,Production Occupations,2.00,2.00,14900.00
Farm Labor Contractors,28.08,0.52,Business and Financial Operations Occupations,2.00,4.00,410.00
Carpet Installers,15.76,0.52,Construction and Extraction Occupations,2.00,2.00,14980.00
Structural Metal Fabricators and Fitters,9.74,0.52,Production Occupations,2.00,3.00,53380.00
Computer Numerically Controlled Tool Operators,46.45,0.52,Production Occupations,2.00,3.00,176950.00
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",33.39,0.51,Production Occupations,2.00,2.00,129850.00
"Insulation Workers, Mechanical",29.44,0.51,Construction and Extraction Occupations,2.00,2.00,25640.00
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",10.36,0.51,Transportation and Material Moving Occupations,2.00,2.00,12460.00
"Paper Goods Machine Setters, Operators, and Tenders",34.82,0.51,Production Occupations,2.00,2.00,96950.00
"Bus Drivers, Transit and Intercity",34.09,0.51,Transportation and Material Moving Occupations,2.00,3.00,148980.00
Shampooers,32.54,0.50,Personal Care and Service Occupations,2.00,2.00,8890.00
Industrial Machinery Mechanics,39.18,0.50,"Installation, Maintenance, and Repair Occupations",3.00,4.00,421940.00
"Derrick Operators, Oil and Gas",20.24,0.50,Construction and Extraction Occupations,1.00,3.00,11040.00
Bus and Truck Mechanics and Diesel Engine Specialists,34.68,0.49,"Installation, Maintenance, and Repair Occupations",3.00,4.00,287230.00
Crane and Tower Operators,22.62,0.49,Transportation and Material Moving Occupations,3.00,4.00,42000.00
Heavy and Tractor-Trailer Truck Drivers,29.40,0.49,Transportation and Material Moving Occupations,2.00,3.00,2070480.00
Segmental Pavers,5.39,0.49,Construction and Extraction Occupations,2.00,3.00,16765.00
Fishing and Hunting Workers,9.29,0.49,"Farming, Fishing, and Forestry Occupations",1.00,1.00,0.00
"Stone Cutters and Carvers, Manufacturing",18.82,0.49,Production Occupations,2.00,2.00,14904.00
Manicurists and Pedicurists,16.21,0.49,Personal Care and Service Occupations,2.00,1.00,147820.00
"Helpers--Installation, Maintenance, and Repair Workers",18.07,0.48,"Installation, Maintenance, and Repair Occupations",2.00,2.00,97540.00
Dancers,21.71,0.48,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,0.00,9060.00
Automotive Service Technicians and Mechanics,29.48,0.48,"Installation, Maintenance, and Repair Occupations",3.00,3.00,688840.00
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",24.64,0.48,Production Occupations,2.00,2.00,36290.00
Furniture Finishers,16.17,0.48,Production Occupations,2.00,2.00,14230.00
Motorboat Mechanics and Service Technicians,13.04,0.47,"Installation, Maintenance, and Repair Occupations",3.00,3.00,24250.00
Printing Press Operators,35.78,0.47,Production Occupations,2.00,2.00,145110.00
Dining Room and Cafeteria Attendants and Bartender Helpers,16.11,0.47,Food Preparation and Serving Related Occupations,1.00,2.00,522010.00
"Patternmakers, Wood",36.86,0.47,Production Occupations,3.00,2.00,180.00
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",30.36,0.47,Production Occupations,2.00,2.00,18970.00
"Glass Blowers, Molders, Benders, and Finishers",19.14,0.46,Production Occupations,2.00,2.00,5037.00
Jewelers and Precious Stone and Metal Workers,21.97,0.46,Production Occupations,3.00,2.00,17230.00
"Coil Winders, Tapers, and Finishers",28.10,0.46,Production Occupations,2.00,2.00,12170.00
Structural Iron and Steel Workers,12.69,0.46,Construction and Extraction Occupations,2.00,3.00,64720.00
Tree Trimmers and Pruners,8.61,0.46,Building and Grounds Cleaning and Maintenance Occupations,2.00,3.00,47870.00
"Electric Motor, Power Tool, and Related Repairers",28.31,0.46,"Installation, Maintenance, and Repair Occupations",3.00,2.00,16570.00
Tool and Die Makers,28.19,0.46,Production Occupations,3.00,3.00,55130.00
Orderlies,6.42,0.46,Healthcare Support Occupations,2.00,2.00,53020.00
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",37.74,0.46,Production Occupations,2.00,2.00,54200.00
"Plumbers, Pipefitters, and Steamfitters",22.69,0.45,Construction and Extraction Occupations,3.00,4.00,238034.00
Engine and Other Machine Assemblers,18.72,0.45,Production Occupations,2.00,3.00,38420.00
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",26.39,0.45,Production Occupations,2.00,2.00,65700.00
Highway Maintenance Workers,3.21,0.45,Construction and Extraction Occupations,2.00,3.00,151750.00
Etchers and Engravers,31.34,0.45,Production Occupations,2.00,1.00,8390.00
"Roof Bolters, Mining",14.05,0.45,Construction and Extraction Occupations,2.00,4.00,2230.00
"Pourers and Casters, Metal",22.16,0.45,Production Occupations,2.00,0.00,5830.00
Conveyor Operators and Tenders,35.52,0.45,Transportation and Material Moving Occupations,1.00,2.00,26060.00
Packaging and Filling Machine Operators and Tenders,26.56,0.45,Production Occupations,2.00,2.00,383860.00
Metal-Refining Furnace Operators and Tenders,30.58,0.45,Production Occupations,2.00,4.00,20330.00
"Patternmakers, Metal and Plastic",43.01,0.45,Production Occupations,3.00,3.00,1570.00
Sailors and Marine Oilers,15.20,0.45,Transportation and Material Moving Occupations,2.00,2.00,31360.00
Ophthalmic Laboratory Technicians,13.97,0.44,Production Occupations,2.00,2.00,18740.00
Glaziers,16.68,0.44,Construction and Extraction Occupations,2.00,3.00,57000.00
Crossing Guards and Flaggers,28.91,0.44,Protective Service Occupations,2.00,2.00,90180.00
Automotive Body and Related Repairers,11.71,0.44,"Installation, Maintenance, and Repair Occupations",2.00,3.00,155220.00
Tire Repairers and Changers,9.18,0.44,"Installation, Maintenance, and Repair Occupations",2.00,2.00,106620.00
Brickmasons and Blockmasons,18.68,0.44,Construction and Extraction Occupations,2.00,4.00,53520.00
Machinists,36.25,0.44,Production Occupations,3.00,3.00,298790.00
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",23.34,0.44,Production Occupations,2.00,3.00,154820.00
"Painters, Construction and Maintenance",19.74,0.44,Construction and Extraction Occupations,2.00,3.00,224180.00
"Model Makers, Wood",32.28,0.43,Production Occupations,3.00,2.00,360.00
Maids and Housekeeping Cleaners,8.94,0.43,Building and Grounds Cleaning and Maintenance Occupations,1.00,2.00,854910.00
Watch and Clock Repairers,19.73,0.43,"Installation, Maintenance, and Repair Occupations",3.00,2.00,1300.00
Shoe and Leather Workers and Repairers,10.77,0.43,Production Occupations,2.00,1.00,7640.00
Septic Tank Servicers and Sewer Pipe Cleaners,28.53,0.43,Construction and Extraction Occupations,1.00,3.00,29050.00
"Meat, Poultry, and Fish Cutters and Trimmers",45.01,0.43,Production Occupations,1.00,1.00,141090.00
Paperhangers,22.39,0.42,Construction and Extraction Occupations,2.00,3.00,1520.00
Helpers--Roofers,2.34,0.42,Construction and Extraction Occupations,2.00,2.00,5170.00
Recycling and Reclamation Workers,13.56,0.42,Transportation and Material Moving Occupations,2.00,2.00,2982530.00
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",47.31,0.42,Production Occupations,2.00,1.00,16160.00
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",30.95,0.42,Production Occupations,2.00,2.00,13810.00
Food Preparation Workers,38.18,0.41,Food Preparation and Serving Related Occupations,2.00,2.00,888770.00
Shoe Machine Operators and Tenders,11.16,0.41,Production Occupations,2.00,1.00,3270.00
Adhesive Bonding Machine Operators and Tenders,40.13,0.40,Production Occupations,2.00,2.00,12170.00
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",31.94,0.40,Production Occupations,2.00,2.00,57310.00
Continuous Mining Machine Operators,12.01,0.40,Construction and Extraction Occupations,2.00,4.00,14340.00
Floor Sanders and Finishers,0.00,0.39,Construction and Extraction Occupations,1.00,3.00,4140.00
"Cooks, Fast Food",46.76,0.39,Food Preparation and Serving Related Occupations,1.00,2.00,668230.00
"Mixing and Blending Machine Setters, Operators, and Tenders",28.25,0.39,Production Occupations,2.00,2.00,100840.00
Automotive Glass Installers and Repairers,4.75,0.39,"Installation, Maintenance, and Repair Occupations",2.00,2.00,18940.00
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",22.30,0.39,Production Occupations,2.00,2.00,8760.00
Helpers--Extraction Workers,3.66,0.39,Construction and Extraction Occupations,2.00,2.00,6720.00
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",21.75,0.39,Transportation and Material Moving Occupations,2.00,3.00,7773.33
Signal and Track Switch Repairers,20.01,0.38,"Installation, Maintenance, and Repair Occupations",3.00,2.00,8210.00
Food Cooking Machine Operators and Tenders,35.76,0.38,Production Occupations,2.00,1.00,27660.00
"Maintenance Workers, Machinery",28.10,0.38,"Installation, Maintenance, and Repair Occupations",3.00,4.00,56540.00
Laundry and Dry-Cleaning Workers,21.62,0.38,Production Occupations,1.00,1.00,195360.00
"Earth Drillers, Except Oil and Gas",13.75,0.37,Construction and Extraction Occupations,2.00,3.00,11754.46
"Potters, Manufacturing",24.81,0.37,Production Occupations,3.00,2.00,11662.00
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",33.29,0.37,Production Occupations,2.00,1.00,14590.00
Outdoor Power Equipment and Other Small Engine Mechanics,32.57,0.36,"Installation, Maintenance, and Repair Occupations",2.00,1.00,34240.00
"Insulation Workers, Floor, Ceiling, and Wall",13.62,0.36,Construction and Extraction Occupations,2.00,3.00,38610.00
Electromechanical Equipment Assemblers,23.67,0.36,Production Occupations,2.00,2.00,91100.00
Plasterers and Stucco Masons,29.14,0.36,Construction and Extraction Occupations,1.00,4.00,20880.00
Cabinetmakers and Bench Carpenters,23.96,0.35,Production Occupations,2.00,3.00,79540.00
"Floor Layers, Except Carpet, Wood, and Hard Tiles",9.90,0.35,Construction and Extraction Occupations,2.00,3.00,24850.00
"Loading and Moving Machine Operators, Underground Mining",14.11,0.35,Construction and Extraction Occupations,2.00,4.00,6130.00
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",29.36,0.34,Production Occupations,2.00,2.00,70110.00
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",26.97,0.34,Production Occupations,2.00,3.00,174430.00
Rail-Track Laying and Maintenance Equipment Operators,0.77,0.34,Construction and Extraction Occupations,2.00,3.00,16480.00
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",16.79,0.33,Building and Grounds Cleaning and Maintenance Occupations,3.00,2.00,2199900.00
Dredge Operators,10.32,0.33,Transportation and Material Moving Occupations,2.00,2.00,1030.00
