task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,title_current,soc_code_2019,soc_code_2019_full,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,task_prop,dws_star_rating,job_zone,emp_change_pct__PROJ_2025_2034__,eloundu_human,eloundu_gpt4,a_med_nat_2025,a_med_al_2025,a_med_ak_2025,a_med_az_2025,a_med_ar_2025,a_med_ca_2025,a_med_co_2025,a_med_ct_2025,a_med_de_2025,a_med_dc_2025,a_med_fl_2025,a_med_ga_2025,a_med_hi_2025,a_med_id_2025,a_med_il_2025,a_med_in_2025,a_med_ia_2025,a_med_ks_2025,a_med_ky_2025,a_med_la_2025,a_med_me_2025,a_med_md_2025,a_med_ma_2025,a_med_mi_2025,a_med_mn_2025,a_med_ms_2025,a_med_mo_2025,a_med_mt_2025,a_med_ne_2025,a_med_nv_2025,a_med_nh_2025,a_med_nj_2025,a_med_nm_2025,a_med_ny_2025,a_med_nc_2025,a_med_nd_2025,a_med_oh_2025,a_med_ok_2025,a_med_or_2025,a_med_pa_2025,a_med_ri_2025,a_med_sc_2025,a_med_sd_2025,a_med_tn_2025,a_med_tx_2025,a_med_ut_2025,a_med_vt_2025,a_med_va_2025,a_med_wa_2025,a_med_wv_2025,a_med_wi_2025,a_med_wy_2025,a_med_gu_2025,a_med_pr_2025,a_med_vi_2025,emp_tot_nat_2025,emp_tot_al_2025,emp_tot_ak_2025,emp_tot_az_2025,emp_tot_ar_2025,emp_tot_ca_2025,emp_tot_co_2025,emp_tot_ct_2025,emp_tot_de_2025,emp_tot_dc_2025,emp_tot_fl_2025,emp_tot_ga_2025,emp_tot_hi_2025,emp_tot_id_2025,emp_tot_il_2025,emp_tot_in_2025,emp_tot_ia_2025,emp_tot_ks_2025,emp_tot_ky_2025,emp_tot_la_2025,emp_tot_me_2025,emp_tot_md_2025,emp_tot_ma_2025,emp_tot_mi_2025,emp_tot_mn_2025,emp_tot_ms_2025,emp_tot_mo_2025,emp_tot_mt_2025,emp_tot_ne_2025,emp_tot_nv_2025,emp_tot_nh_2025,emp_tot_nj_2025,emp_tot_nm_2025,emp_tot_ny_2025,emp_tot_nc_2025,emp_tot_nd_2025,emp_tot_oh_2025,emp_tot_ok_2025,emp_tot_or_2025,emp_tot_pa_2025,emp_tot_ri_2025,emp_tot_sc_2025,emp_tot_sd_2025,emp_tot_tn_2025,emp_tot_tx_2025,emp_tot_ut_2025,emp_tot_vt_2025,emp_tot_va_2025,emp_tot_wa_2025,emp_tot_wv_2025,emp_tot_wi_2025,emp_tot_wy_2025,emp_tot_gu_2025,emp_tot_pr_2025,emp_tot_vi_2025
Compile and analyze data obtained from monitoring or diagnostic tests.,compile and analyze data obtained from monitoring or diagnostic tests,Analyze test data or images to inform diagnosis or treatment.,Analyze health or medical data.,Analyzing Data or Information,Critical Care Nurses,critical care nurses,29-1141.03,Critical Care Nurses,29-1141,29-1141.03,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,4.721059972105999,0.1743633242946084,2026-02-12,4.6298,4.7,100.0,1.0,5,4,4.9,E2,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,685664.0,55121.0,7618.0,74202.0,29823.0,343814.0,55274.0,40687.0,14495.0,11605.0,229940.0,102402.0,13126.0,17123.0,140908.0,69972.0,34915.0,34286.0,51023.0,49674.0,16778.0,53671.0,89468.0,106459.0,71118.0,29478.0,77407.0,11107.0,25075.0,27459.0,15390.000000000002,94013.0,18239.0,208770.0,112718.0,11503.0,145797.0,38820.0,40301.0,148627.0,10235.0,50465.0,14922.0,73238.0,275282.0,27814.0,7517.0,78604.0,70256.0,23767.0,69039.0,5407.0,700.0,21576.0,477.0
Document patients' medical histories and assessment findings.,document patients medical histories and assessment findings,Record patient medical histories.,Maintain health or medical records.,Documenting/Recording Information,Critical Care Nurses,critical care nurses,29-1141.03,Critical Care Nurses,29-1141,29-1141.03,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0033990158771039,2026-02-12,3.13596,4.54,100.0,1.0,5,4,4.9,E2,E1,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,685664.0,55121.0,7618.0,74202.0,29823.0,343814.0,55274.0,40687.0,14495.0,11605.0,229940.0,102402.0,13126.0,17123.0,140908.0,69972.0,34915.0,34286.0,51023.0,49674.0,16778.0,53671.0,89468.0,106459.0,71118.0,29478.0,77407.0,11107.0,25075.0,27459.0,15390.000000000002,94013.0,18239.0,208770.0,112718.0,11503.0,145797.0,38820.0,40301.0,148627.0,10235.0,50465.0,14922.0,73238.0,275282.0,27814.0,7517.0,78604.0,70256.0,23767.0,69039.0,5407.0,700.0,21576.0,477.0
Evaluate the quality and effectiveness of nursing practice or organizational systems.,evaluate the quality and effectiveness of nursing practice or organizational systems,Evaluate program effectiveness.,"Evaluate programs, practices, or processes.","Judging the Qualities of Objects, Services, or People",Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0024929727515776,2026-02-12,1.246836923076923,4.33,100.0,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Evaluate the quality and effectiveness of nursing practice or organizational systems.,evaluate the quality and effectiveness of nursing practice or organizational systems,Evaluate effectiveness of personnel policies or practices.,"Evaluate programs, practices, or processes.","Judging the Qualities of Objects, Services, or People",Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0024929727515776,2026-02-12,1.246836923076923,4.33,100.0,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Monitor or evaluate medical conditions of patients in collaboration with other health care professionals.,monitor or evaluate medical conditions of patients in collaboration with other health care professionals,"Monitor patient conditions during treatments, procedures, or activities.",Monitor health conditions of humans or animals.,"Monitoring Processes, Materials, or Surroundings",Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.001588983478366,2026-02-12,1.6708430769230769,4.24,100.0,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Monitor or evaluate medical conditions of patients in collaboration with other health care professionals.,monitor or evaluate medical conditions of patients in collaboration with other health care professionals,"Evaluate patient functioning, capabilities, or health.",Evaluate patient or client condition or treatment options.,"Judging the Qualities of Objects, Services, or People",Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.001588983478366,2026-02-12,1.6708430769230769,4.24,100.0,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
"Provide direct care by performing comprehensive health assessments, developing differential diagnoses, conducting specialized tests, or prescribing medications or treatments.",provide direct care by performing comprehensive health assessments developing differential diagnoses conducting specialized tests or prescribing medications or treatments,Diagnose medical conditions.,Diagnose health conditions or disorders.,Making Decisions and Solving Problems,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,True,4.614864864864865,0.0012041688197021,2026-02-12,1.6651753846153845,4.22,85.71,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
"Provide direct care by performing comprehensive health assessments, developing differential diagnoses, conducting specialized tests, or prescribing medications or treatments.",provide direct care by performing comprehensive health assessments developing differential diagnoses conducting specialized tests or prescribing medications or treatments,Prescribe medications.,Prescribe medical treatments or devices.,Monitoring and Controlling Resources,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,True,4.614864864864865,0.0012041688197021,2026-02-12,1.6651753846153845,4.22,85.71,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
"Make clinical recommendations to physicians, other health care providers, insurance companies, patients, or health care organizations.",make clinical recommendations to physicians other health care providers insurance companies patients or health care organizations,Advise medical personnel regarding healthcare issues.,Advise others on healthcare or wellness issues.,Providing Consultation and Advice to Others,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0048115847995502,2026-02-12,0.7727953846153846,4.0,100.0,0.9666666666666668,5,5,4.9,E1,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Design patient education programs that include information required to make informed health care and treatment decisions.,design patient education programs that include information required to make informed health care and treatment decisions,Develop educational programs.,"Develop educational programs, plans, or procedures.",Thinking Creatively,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0026100004263868,2026-02-12,0.7044999999999999,3.95,100.0,0.9666666666666668,5,5,4.9,E2,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Present clients with information required to make informed health care and treatment decisions.,present clients with information required to make informed health care and treatment decisions,Communicate detailed medical information to patients or family members.,Explain medical information to patients or family members.,Interpreting the Meaning of Information for Others,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0052785020104683,2026-02-12,1.4248384615384615,3.8,71.43,0.9666666666666668,5,5,4.9,E2,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
"Plan, evaluate, or modify treatment programs, based on information gathered by observing and interviewing patients or by analyzing patient records.",plan evaluate or modify treatment programs based on information gathered by observing and interviewing patients or by analyzing patient records,Analyze patient data to determine patient needs or treatment goals.,Analyze health or medical data.,Analyzing Data or Information,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0006989987056465,2026-02-12,0.9584615384615384,3.7,95.24,0.9666666666666668,5,5,4.9,E2,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
"Plan, evaluate, or modify treatment programs, based on information gathered by observing and interviewing patients or by analyzing patient records.",plan evaluate or modify treatment programs based on information gathered by observing and interviewing patients or by analyzing patient records,Develop medical treatment plans.,Develop patient or client care or treatment plans.,Thinking Creatively,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0006989987056465,2026-02-12,0.9584615384615384,3.7,95.24,0.9666666666666668,5,5,4.9,E2,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Teach patient education programs that include information required to make informed health care and treatment decisions.,teach patient education programs that include information required to make informed health care and treatment decisions,Teach classes in area of specialization.,Teach academic or vocational subjects.,Training and Teaching Others,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0009151683029736,2026-02-12,0.4862492307692307,3.67,85.0,0.9666666666666668,5,5,4.9,E0,E2,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
Prepare reports to document patients' care activities.,prepare reports to document patients care activities,Prepare reports summarizing patient diagnostic or care activities.,Prepare health or medical documents.,Documenting/Recording Information,Clinical Nurse Specialists,clinical nurse specialists,29-1141.04,Clinical Nurse Specialists,29-1141,29-1141.04,Registered Nurses,Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,False,5.0,0.0090485392019582,2026-02-12,0.6578626923076923,3.05,95.0,0.9666666666666668,5,5,4.9,E1,E1,97550.0,77080.0,109480.0,99500.0,78940.0,140270.0,100260.0,102740.0,99520.0,102540.0,84190.0,93550.0,136320.0,92460.0,95990.0,83500.0,78630.0,79320.0,81040.0,80230.0,86990.0,99790.0,104550.0,94300.0,101510.0,77090.0,81780.0,85280.0,84730.0,103670.0,99700.0,106500.0,94340.0,109440.0,84350.0,80730.0,82510.0,82920.0,129010.0,96430.0,100640.0,82360.0,78060.0,81500.0,95970.0,84600.0,97460.0,93600.0,124200.0,80130.0,95530.0,83760.0,97550.0,39880.0,84120.0,808230.0,64975.0,8980.0,87466.0,35154.0,405273.0,65154.0,47960.0,17087.0,13679.0,229940.0,120707.0,15472.0,20184.0,166095.0,82480.0,41156.0,40415.0,60144.0,58554.0,19777.0,63265.0,105461.0,125489.0,83831.0,34747.0,91244.0,13093.0,29558.0,32368.0,15390.0,110818.0,21499.0,246088.0,132867.0,13559.0,171859.0,45760.0,47505.0,175195.0,12065.0,59486.0,17589.0,86330.0,324491.0,32786.0,8860.0,92655.0,82815.0,28015.0,81380.0,6373.0,825.0,25433.0,562.0
