iwa,threshold,crossed_date,pct_last,pct_first
Smooth surfaces of objects or equipment.,10.00,,0.00,0.00
Smooth surfaces of objects or equipment.,33.00,,0.00,0.00
Smooth surfaces of objects or equipment.,66.00,,0.00,0.00
Sort materials or products.,10.00,2024-09-30,23.87,17.24
Sort materials or products.,33.00,,23.87,17.24
Sort materials or products.,66.00,,23.87,17.24
Stock supplies or products.,10.00,2026-02-12,12.73,4.61
Stock supplies or products.,33.00,,12.73,4.61
Stock supplies or products.,66.00,,12.73,4.61
Study details of artistic productions.,10.00,2024-09-30,73.37,53.38
Study details of artistic productions.,33.00,2024-09-30,73.37,53.38
Study details of artistic productions.,66.00,2025-11-13,73.37,53.38
Supervise activities in correctional facilities.,10.00,,0.00,0.00
Supervise activities in correctional facilities.,33.00,,0.00,0.00
Supervise activities in correctional facilities.,66.00,,0.00,0.00
Supervise personnel activities.,10.00,2025-08-11,18.70,6.88
Supervise personnel activities.,33.00,,18.70,6.88
Supervise personnel activities.,66.00,,18.70,6.88
Take physical measurements of patients or clients.,10.00,2024-09-30,14.50,14.50
Take physical measurements of patients or clients.,33.00,,14.50,14.50
Take physical measurements of patients or clients.,66.00,,14.50,14.50
Teach academic or vocational subjects.,10.00,2024-09-30,58.57,47.51
Teach academic or vocational subjects.,33.00,2024-09-30,58.57,47.51
Teach academic or vocational subjects.,66.00,,58.57,47.51
Teach life skills.,10.00,2024-09-30,57.71,44.98
Teach life skills.,33.00,2024-09-30,57.71,44.98
Teach life skills.,66.00,,57.71,44.98
Teach safety procedures or standards to others.,10.00,2024-09-30,41.50,41.33
Teach safety procedures or standards to others.,33.00,2024-09-30,41.50,41.33
Teach safety procedures or standards to others.,66.00,,41.50,41.33
Tend watercraft.,10.00,,0.00,0.00
Tend watercraft.,33.00,,0.00,0.00
Tend watercraft.,66.00,,0.00,0.00
Test characteristics of materials or products.,10.00,2025-03-06,24.22,3.06
Test characteristics of materials or products.,33.00,,24.22,3.06
Test characteristics of materials or products.,66.00,,24.22,3.06
Test performance of computer or information systems.,10.00,2024-09-30,67.40,49.74
Test performance of computer or information systems.,33.00,2024-09-30,67.40,49.74
Test performance of computer or information systems.,66.00,2025-08-11,67.40,49.74
Test performance of equipment or systems.,10.00,2024-09-30,57.37,51.31
Test performance of equipment or systems.,33.00,2024-09-30,57.37,51.31
Test performance of equipment or systems.,66.00,,57.37,51.31
Test sites or materials for environmental hazards.,10.00,,0.07,0.00
Test sites or materials for environmental hazards.,33.00,,0.07,0.00
Test sites or materials for environmental hazards.,66.00,,0.07,0.00
Train animals.,10.00,,9.27,0.00
Train animals.,33.00,,9.27,0.00
Train animals.,66.00,,9.27,0.00
Train others on health or medical topics.,10.00,2024-09-30,45.25,42.68
Train others on health or medical topics.,33.00,2024-09-30,45.25,42.68
Train others on health or medical topics.,66.00,,45.25,42.68
Train others on operational or work procedures.,10.00,2024-09-30,53.36,45.27
Train others on operational or work procedures.,33.00,2024-09-30,53.36,45.27
Train others on operational or work procedures.,66.00,,53.36,45.27
Train others to use equipment or products.,10.00,2024-09-30,48.63,44.39
Train others to use equipment or products.,33.00,2024-09-30,48.63,44.39
Train others to use equipment or products.,66.00,,48.63,44.39
Transport patients or clients.,10.00,2025-08-11,13.40,0.00
Transport patients or clients.,33.00,,13.40,0.00
Transport patients or clients.,66.00,,13.40,0.00
"Treat injuries, illnesses, or diseases.",10.00,2026-02-12,10.27,1.91
"Treat injuries, illnesses, or diseases.",33.00,,10.27,1.91
"Treat injuries, illnesses, or diseases.",66.00,,10.27,1.91
Verify personal information.,10.00,2024-09-30,49.64,48.75
Verify personal information.,33.00,2024-09-30,49.64,48.75
Verify personal information.,66.00,,49.64,48.75
Write material for artistic or commercial purposes.,10.00,2024-09-30,81.32,56.76
Write material for artistic or commercial purposes.,33.00,2024-09-30,81.32,56.76
Write material for artistic or commercial purposes.,66.00,2025-08-11,81.32,56.76
