category,pct_human_conv,workers_human_conv,tier_human_conv,pct_all_confirmed,workers_all_confirmed,tier_all_confirmed,pct_all_ceiling,workers_all_ceiling,tier_all_ceiling
"Education and Childcare Administrators, Preschool and Daycare",27.09,19399.41,Restructuring,27.09,19399.41,Restructuring,42.53,30458.39,Moderate
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,107349.42,Restructuring,27.05,107349.42,Restructuring,40.24,159714.53,Moderate
Emergency Management Directors,26.92,3383.22,Restructuring,26.92,3383.22,Restructuring,37.78,4749.48,Restructuring
"Farmworkers, Farm, Ranch, and Aquacultural Animals",26.78,9485.66,Restructuring,26.78,9485.66,Restructuring,28.73,10177.25,Restructuring
"Teaching Assistants, Special Education",26.69,102113.26,Restructuring,26.69,102113.26,Restructuring,38.06,145612.37,Restructuring
Appraisers and Assessors of Real Estate,26.63,7865.56,Restructuring,26.63,7865.56,Restructuring,41.83,12355.40,Moderate
Aerospace Engineers,26.61,18214.23,Restructuring,27.46,18790.65,Restructuring,35.39,24218.57,Restructuring
Bartenders,26.49,197479.07,Restructuring,28.74,214255.67,Restructuring,34.33,255942.96,Restructuring
Police and Sheriff's Patrol Officers,26.44,36516.17,Restructuring,26.44,36516.17,Restructuring,30.37,41945.02,Restructuring
Public Relations Managers,26.43,15505.14,Restructuring,26.43,15505.14,Restructuring,48.52,28462.24,Moderate
Occupational Therapy Aides,26.41,1320.56,Restructuring,26.41,1320.56,Restructuring,34.41,1720.45,Restructuring
Remote Sensing Scientists and Technologists,26.35,5950.02,Restructuring,39.16,8842.54,Restructuring,66.30,14970.68,High
Baggage Porters and Bellhops,26.30,8209.89,Restructuring,28.74,8971.83,Restructuring,36.96,11539.72,Restructuring
Manufactured Building and Mobile Home Installers,26.17,682.98,Restructuring,26.17,682.98,Restructuring,26.17,682.98,Restructuring
"Electrical and Electronics Installers and Repairers, Transportation Equipment",26.09,1906.89,Restructuring,32.01,2339.98,Restructuring,36.08,2637.48,Restructuring
Traffic Technicians,26.05,1974.31,Restructuring,26.05,1974.31,Restructuring,48.49,3675.58,Moderate
Music Therapists,25.95,2644.48,Restructuring,30.91,3149.57,Restructuring,40.95,4172.65,Moderate
Neuropsychologists,25.94,9230.95,Restructuring,25.94,9230.95,Restructuring,28.51,10143.53,Restructuring
Health Education Specialists,25.86,16850.14,Restructuring,25.86,16850.14,Restructuring,48.06,31312.72,Moderate
Remote Sensing Technicians,25.82,13050.57,Restructuring,29.17,14742.28,Restructuring,63.81,32249.74,High
"Shipping, Receiving, and Inventory Clerks",25.81,221355.21,Restructuring,25.81,221355.21,Restructuring,51.03,437688.09,Moderate
General and Operations Managers,25.56,916037.37,Restructuring,27.87,999093.32,Restructuring,52.31,1875106.72,Moderate
Crossing Guards and Flaggers,25.46,22959.14,Restructuring,25.46,22959.14,Restructuring,28.91,26068.30,Restructuring
"Sawing Machine Setters, Operators, and Tenders, Wood",25.45,10979.70,Restructuring,27.59,11900.97,Restructuring,38.37,16551.10,Restructuring
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",25.44,27402.52,Restructuring,25.44,27402.52,Restructuring,44.86,48316.75,Moderate
Bicycle Repairers,25.44,3202.29,Restructuring,25.44,3202.29,Restructuring,30.25,3808.65,Restructuring
First-Line Supervisors of Personal Service Workers,25.33,27281.47,Restructuring,27.95,30100.48,Restructuring,48.69,52437.14,Moderate
Musical Instrument Repairers and Tuners,25.23,1445.79,Restructuring,28.49,1632.73,Restructuring,28.49,1632.73,Restructuring
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,1705.08,Restructuring,25.19,1705.08,Restructuring,36.10,2444.10,Restructuring
Food Batchmakers,25.16,43183.99,Restructuring,25.16,43183.99,Restructuring,33.14,56879.85,Restructuring
Sports Medicine Physicians,25.15,8598.38,Restructuring,25.31,8651.02,Restructuring,30.46,10411.05,Restructuring
Agricultural Inspectors,25.14,3039.27,Restructuring,28.01,3386.59,Restructuring,31.08,3757.98,Restructuring
Financial Managers,25.11,4736.82,Restructuring,25.11,4736.82,Restructuring,52.40,9886.71,Moderate
"Disc Jockeys, Except Radio",25.07,2048.18,Restructuring,25.07,2048.18,Restructuring,42.15,3443.77,Moderate
Bakers,25.05,58092.67,Restructuring,25.05,58092.67,Restructuring,31.70,73507.79,Restructuring
Transit and Railroad Police,24.91,747.35,Restructuring,24.91,747.35,Restructuring,30.28,908.26,Restructuring
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,9026.10,Restructuring,24.89,9026.10,Restructuring,38.03,13789.80,Restructuring
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,32297.87,Restructuring,24.87,32297.87,Restructuring,33.39,43354.05,Restructuring
Materials Engineers,24.60,5600.43,Restructuring,25.35,5771.79,Restructuring,33.29,7579.31,Restructuring
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",24.45,12158.09,Restructuring,32.67,16243.61,Restructuring,48.16,23947.12,Moderate
Construction and Building Inspectors,24.32,20864.39,Restructuring,24.32,20864.39,Restructuring,40.89,35072.34,Moderate
Audio and Video Technicians,24.21,16963.69,Restructuring,24.21,16963.69,Restructuring,49.73,34853.75,Moderate
Cooling and Freezing Equipment Operators and Tenders,24.18,1593.34,Restructuring,24.18,1593.34,Restructuring,35.58,2344.62,Restructuring
"Model Makers, Wood",24.17,87.03,Restructuring,24.17,87.03,Restructuring,32.28,116.20,Restructuring
Project Management Specialists,24.05,134875.66,Restructuring,24.05,134875.66,Restructuring,55.58,311668.34,Moderate
Commercial Pilots,23.97,12424.34,Restructuring,26.52,13746.41,Restructuring,39.43,20434.44,Restructuring
Media Technical Directors/Managers,23.92,5835.42,Restructuring,23.92,5835.42,Restructuring,40.64,9914.58,Moderate
"Judges, Magistrate Judges, and Magistrates",23.86,6103.49,Restructuring,24.47,6260.14,Restructuring,24.47,6260.14,Restructuring
First-Line Supervisors of Passenger Attendants,23.83,25665.67,Restructuring,23.83,25665.67,Restructuring,31.50,33929.04,Restructuring
Transportation Inspectors,23.78,1848.34,Restructuring,23.78,1848.34,Restructuring,32.65,2538.29,Restructuring
"Control and Valve Installers and Repairers, Except Mechanical Door",23.67,11106.55,Restructuring,24.17,11341.96,Restructuring,29.17,13687.47,Restructuring
Fabric and Apparel Patternmakers,23.62,675.45,Restructuring,23.62,675.45,Restructuring,34.20,978.14,Restructuring
Commercial Divers,23.55,807.61,Restructuring,23.55,807.61,Restructuring,24.28,832.65,Restructuring
Sound Engineering Technicians,23.47,3063.07,Restructuring,28.35,3700.24,Restructuring,70.50,9200.60,High
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",23.36,14800.76,Restructuring,23.36,14800.76,Restructuring,29.82,18889.91,Restructuring
Stockers and Order Fillers,23.26,646480.80,Restructuring,23.26,646480.80,Restructuring,44.66,1241241.34,Moderate
Nanotechnology Engineering Technologists and Technicians,23.23,9487.99,Restructuring,23.23,9487.99,Restructuring,31.88,13018.44,Restructuring
Cabinetmakers and Bench Carpenters,23.19,18449.25,Restructuring,23.19,18449.25,Restructuring,23.96,19054.86,Restructuring
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",23.19,3748.25,Restructuring,25.77,4164.06,Restructuring,47.31,7645.96,Moderate
Podiatrists,23.08,2197.35,Restructuring,23.08,2197.35,Restructuring,23.08,2197.35,Restructuring
Quality Control Analysts,23.05,4808.15,Restructuring,25.72,5364.26,Restructuring,42.59,8883.11,Moderate
Taxi Drivers,22.94,4016.65,Restructuring,22.94,4016.65,Restructuring,25.77,4511.82,Restructuring
Tool and Die Makers,22.89,12620.15,Restructuring,22.89,12620.15,Restructuring,28.19,15543.64,Restructuring
Industrial Ecologists,22.85,5972.79,Restructuring,23.49,6139.64,Restructuring,37.34,9759.92,Restructuring
Biofuels/Biodiesel Technology and Product Development Managers,22.85,8736.92,Restructuring,22.85,8736.92,Restructuring,29.44,11255.69,Restructuring
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",22.66,9888.85,Restructuring,22.66,9888.85,Restructuring,22.66,9888.85,Restructuring
Motorcycle Mechanics,22.62,3168.41,Restructuring,22.62,3168.41,Restructuring,22.62,3168.41,Restructuring
Electrical and Electronic Equipment Assemblers,22.51,20506.76,Restructuring,26.38,24032.50,Restructuring,32.54,29641.52,Restructuring
"Bus Drivers, Transit and Intercity",22.47,33472.45,Restructuring,22.47,33472.45,Restructuring,34.09,50793.19,Restructuring
"Education Administrators, Kindergarten through Secondary",22.43,71677.68,Restructuring,22.43,71677.68,Restructuring,38.18,122036.40,Restructuring
Couriers and Messengers,22.38,16098.33,Restructuring,33.87,24357.33,Restructuring,38.11,27406.20,Restructuring
"Morticians, Undertakers, and Funeral Arrangers",22.38,5752.43,Restructuring,22.38,5752.43,Restructuring,29.57,7598.46,Restructuring
"Physicians, Pathologists",22.36,2638.68,Restructuring,22.36,2638.68,Restructuring,33.25,3923.78,Restructuring
Printing Press Operators,22.24,32275.99,Restructuring,22.24,32275.99,Restructuring,35.78,51922.59,Restructuring
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",22.17,15541.32,Restructuring,22.17,15541.32,Restructuring,29.36,20580.90,Restructuring
Cardiovascular Technologists and Technicians,22.13,13538.43,Restructuring,27.72,16956.11,Restructuring,33.00,20189.17,Restructuring
Police Identification and Records Officers,22.07,3957.16,Restructuring,22.07,3957.16,Restructuring,41.61,7459.27,Moderate
Weatherization Installers and Technicians,22.02,3692.30,Restructuring,22.02,3692.30,Restructuring,31.10,5213.87,Restructuring
Magnetic Resonance Imaging Technologists,22.02,9145.03,Restructuring,22.02,9145.03,Restructuring,34.26,14229.17,Restructuring
Allergists and Immunologists,22.01,30226.62,Restructuring,30.31,41614.10,Restructuring,37.38,51321.54,Restructuring
Gambling Managers,21.88,1010.65,Restructuring,21.88,1010.65,Restructuring,36.14,1669.50,Restructuring
Media Programming Directors,21.73,8426.06,Restructuring,21.73,8426.06,Restructuring,34.67,13442.39,Restructuring
Dancers,21.71,1966.93,Restructuring,21.71,1966.93,Restructuring,21.71,1966.93,Restructuring
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",21.63,26855.40,Restructuring,22.93,28468.86,Restructuring,42.80,53124.90,Moderate
Adhesive Bonding Machine Operators and Tenders,21.57,2625.67,Restructuring,21.57,2625.67,Restructuring,40.13,4883.84,Moderate
First-Line Supervisors of Security Workers,21.55,15150.16,Restructuring,21.55,15150.16,Restructuring,44.92,31584.00,Moderate
Fire Inspectors and Investigators,21.51,3022.58,Restructuring,21.51,3022.58,Restructuring,27.90,3920.60,Restructuring
First-Line Supervisors of Correctional Officers,21.42,11438.48,Restructuring,26.39,14091.33,Restructuring,37.29,19910.64,Restructuring
Cardiologists,21.34,5198.84,Restructuring,21.34,5198.84,Restructuring,26.81,6529.40,Restructuring
Audiovisual Equipment Installers and Repairers,21.33,4728.82,Restructuring,21.33,4728.82,Restructuring,32.45,7194.73,Restructuring
Audiologists,21.24,3129.33,Restructuring,21.24,3129.33,Restructuring,25.48,3753.54,Restructuring
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,6168.62,Restructuring,21.23,6168.62,Restructuring,28.53,8289.32,Restructuring
Administrative Services Managers,21.21,39126.36,Restructuring,21.21,39126.36,Restructuring,46.12,85085.45,Moderate
Paperhangers,21.12,321.06,Restructuring,22.39,340.30,Restructuring,22.39,340.30,Restructuring
Family Medicine Physicians,21.06,22735.38,Restructuring,21.06,22735.38,Restructuring,23.99,25898.27,Restructuring
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,21.06,25931.31,Restructuring,21.06,25931.31,Restructuring,34.82,42878.06,Restructuring
Postal Service Mail Carriers,21.06,70754.52,Restructuring,21.06,70754.52,Restructuring,36.80,123660.96,Restructuring
Forest and Conservation Technicians,21.02,6532.48,Restructuring,22.14,6880.15,Restructuring,26.68,8291.85,Restructuring
Optometrists,20.88,8745.53,Restructuring,30.19,12646.24,Restructuring,30.19,12646.24,Restructuring
Aircraft Cargo Handling Supervisors,20.85,2118.79,Restructuring,20.85,2118.79,Restructuring,30.24,3071.88,Restructuring
Agricultural Technicians,20.85,2053.57,Restructuring,26.56,2616.14,Restructuring,29.16,2871.44,Restructuring
"Tool Grinders, Filers, and Sharpeners",20.82,1192.79,Restructuring,20.82,1192.79,Restructuring,30.99,1775.68,Restructuring
Electrical Power-Line Installers and Repairers,20.80,25727.81,Restructuring,20.80,25727.81,Restructuring,21.94,27135.29,Restructuring
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",20.80,7250.87,Restructuring,21.79,7596.89,Restructuring,33.31,11611.62,Restructuring
"Maintenance and Repair Workers, General",20.80,318519.04,Restructuring,20.80,318519.04,Restructuring,25.12,384740.02,Restructuring
Semiconductor Processing Technicians,20.76,6675.18,Restructuring,20.76,6675.18,Restructuring,33.29,10703.53,Restructuring
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",20.75,13630.35,Restructuring,20.75,13630.35,Restructuring,26.39,17340.38,Restructuring
"Pump Operators, Except Wellhead Pumpers",20.64,2600.14,Restructuring,20.64,2600.14,Restructuring,44.03,5548.31,Moderate
Psychiatric Aides,20.63,7199.27,Restructuring,22.92,7998.57,Restructuring,29.03,10132.26,Restructuring
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",20.62,29614.64,Restructuring,20.62,29614.64,Restructuring,31.20,44796.97,Restructuring
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",20.61,11172.95,Restructuring,31.93,17307.71,Restructuring,37.74,20452.49,Restructuring
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",20.58,3002.88,Restructuring,20.58,3002.88,Restructuring,33.29,4856.35,Restructuring
"Special Education Teachers, Kindergarten",20.58,19111.57,Restructuring,20.58,19111.57,Restructuring,31.79,29528.70,Restructuring
Petroleum Engineers,20.42,3873.29,Restructuring,20.42,3873.29,Restructuring,32.02,6073.62,Restructuring
"Inspectors, Testers, Sorters, Samplers, and Weighers",20.41,120685.64,Restructuring,24.87,146999.73,Restructuring,33.70,199229.58,Restructuring
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",20.34,4546.45,Restructuring,20.34,4546.45,Restructuring,33.14,7405.97,Restructuring
"Mobile Heavy Equipment Mechanics, Except Engines",20.33,36648.45,Restructuring,21.83,39344.61,Restructuring,27.06,48777.98,Restructuring
Photographic Process Workers and Processing Machine Operators,20.26,1124.68,Restructuring,20.87,1158.54,Restructuring,57.22,3175.61,Moderate
Radiologic Technologists and Technicians,20.21,45170.33,Restructuring,20.21,45170.33,Restructuring,33.30,74404.10,Restructuring
"Opticians, Dispensing",20.21,16102.27,Restructuring,20.21,16102.27,Restructuring,22.98,18311.99,Restructuring
Licensed Practical and Licensed Vocational Nurses,20.16,127474.98,Restructuring,28.83,182337.51,Restructuring,36.97,233791.65,Restructuring
"Captains, Mates, and Pilots of Water Vessels",20.14,7127.29,Restructuring,20.14,7127.29,Restructuring,28.57,10111.57,Restructuring
Chiropractors,20.11,7568.14,Restructuring,36.39,13694.86,Restructuring,38.87,14626.50,Restructuring
Critical Care Nurses,20.10,133826.72,Restructuring,24.02,159909.84,Restructuring,26.24,174730.67,Restructuring
Stationary Engineers and Boiler Operators,20.10,6186.23,Restructuring,20.10,6186.23,Restructuring,35.57,10948.94,Restructuring
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",20.06,1757.12,Restructuring,20.06,1757.12,Restructuring,22.30,1953.24,Restructuring
Terrazzo Workers and Finishers,20.00,289.98,Low,20.46,296.71,Restructuring,20.46,296.71,Restructuring
"Plumbers, Pipefitters, and Steamfitters",19.99,47590.30,Low,19.99,47590.30,Low,22.69,54003.68,Restructuring
"Electric Motor, Power Tool, and Related Repairers",19.94,3304.07,Low,21.61,3580.01,Restructuring,28.31,4690.36,Restructuring
"Food Servers, Nonrestaurant",19.93,54179.18,Low,22.31,60632.72,Restructuring,32.27,87692.93,Restructuring
"Special Education Teachers, Elementary School",19.90,18482.30,Low,19.90,18482.30,Low,28.55,26513.00,Restructuring
Farm Labor Contractors,19.80,81.19,Low,19.80,81.19,Low,28.08,115.12,Restructuring
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",19.76,2729.34,Low,19.76,2729.34,Low,30.95,4273.69,Restructuring
Acupuncturists,19.67,1660.11,Low,21.71,1832.24,Restructuring,24.63,2079.04,Restructuring
Funeral Home Managers,19.66,2578.78,Low,19.66,2578.78,Low,38.78,5088.28,Restructuring
Heavy and Tractor-Trailer Truck Drivers,19.54,404594.60,Low,21.53,445791.35,Restructuring,29.40,608734.10,Restructuring
Industrial Production Managers,19.54,10063.75,Low,19.54,10063.75,Low,45.17,23265.71,Moderate
Preventive Medicine Physicians,19.43,9322.42,Low,19.43,9322.42,Low,28.14,13501.25,Restructuring
Court Reporters and Simultaneous Captioners,19.41,2451.08,Low,19.41,2451.08,Low,57.07,7207.84,Moderate
Neurodiagnostic Technologists,19.38,10262.51,Low,21.05,11146.35,Restructuring,24.99,13231.59,Restructuring
"Derrick Operators, Oil and Gas",19.38,2139.13,Low,19.38,2139.13,Low,20.24,2234.44,Restructuring
"Painters, Construction and Maintenance",19.35,43378.31,Low,19.74,44253.82,Low,19.74,44253.82,Low
Jewelers and Precious Stone and Metal Workers,19.34,3332.47,Low,19.34,3332.47,Low,21.97,3785.76,Restructuring
Veterinary Assistants and Laboratory Animal Caretakers,19.22,21942.50,Low,21.56,24617.58,Restructuring,30.73,35093.72,Restructuring
Gas Plant Operators,19.07,3034.32,Low,21.18,3369.84,Restructuring,32.89,5233.53,Restructuring
Geodetic Surveyors,19.01,2740.44,Low,19.55,2818.39,Low,55.84,8050.33,Moderate
Veterinary Technologists and Technicians,19.00,24949.42,Low,23.55,30921.07,Restructuring,30.81,40461.48,Restructuring
Automotive Service Technicians and Mechanics,18.91,130238.40,Low,18.91,130238.40,Low,29.48,203049.29,Restructuring
Food Cooking Machine Operators and Tenders,18.90,5228.13,Low,18.90,5228.13,Low,35.76,9892.52,Restructuring
Railroad Conductors and Yardmasters,18.88,8062.06,Low,18.88,8062.06,Low,26.48,11310.07,Restructuring
Locomotive Engineers,18.80,6015.40,Low,18.80,6015.40,Low,23.14,7401.41,Restructuring
Engine and Other Machine Assemblers,18.72,7193.85,Low,18.72,7193.85,Low,18.72,7193.85,Low
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",18.72,5343.45,Low,18.72,5343.45,Low,30.18,8616.66,Restructuring
Upholsterers,18.70,3925.86,Low,18.70,3925.86,Low,22.75,4774.74,Restructuring
Parking Enforcement Workers,18.67,1450.84,Low,18.67,1450.84,Low,35.77,2779.45,Restructuring
Hospitalists,18.60,6471.41,Low,18.60,6471.41,Low,30.16,10497.52,Restructuring
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,10650.94,Low,18.58,10650.94,Low,31.94,18306.51,Restructuring
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",18.57,32387.80,Low,18.57,32387.80,Low,26.97,47043.87,Restructuring
Textile Bleaching and Dyeing Machine Operators and Tenders,18.56,1080.09,Low,18.56,1080.09,Low,30.80,1792.48,Restructuring
Registered Nurses,18.49,56320.92,Low,33.36,101596.50,Restructuring,40.16,122300.04,Moderate
"Mixing and Blending Machine Setters, Operators, and Tenders",18.49,18642.33,Low,22.50,22692.70,Restructuring,28.25,28490.93,Restructuring
First-Line Supervisors of Police and Detectives,18.41,28194.40,Low,18.41,28194.40,Low,42.62,65260.32,Moderate
Financial Examiners,18.28,11487.38,Low,19.16,12040.91,Low,34.02,21377.80,Restructuring
Farm Equipment Mechanics and Service Technicians,18.20,6713.77,Low,18.20,6713.77,Low,26.03,9600.51,Restructuring
"Layout Workers, Metal and Plastic",18.20,1020.79,Low,18.20,1020.79,Low,19.32,1083.67,Low
Clinical Neuropsychologists,18.17,6464.70,Low,18.17,6464.70,Low,20.03,7127.19,Restructuring
"Helpers--Installation, Maintenance, and Repair Workers",18.07,17625.14,Low,18.07,17625.14,Low,18.07,17625.14,Low
"Rail Yard Engineers, Dinkey Operators, and Hostlers",18.05,595.75,Low,18.05,595.75,Low,22.96,757.76,Restructuring
"Maintenance Workers, Machinery",17.99,10172.90,Low,17.99,10172.90,Low,28.10,15886.58,Restructuring
Metal-Refining Furnace Operators and Tenders,17.97,3652.63,Low,17.97,3652.63,Low,30.58,6217.74,Restructuring
"Sewers, Hand",17.94,401.83,Low,17.94,401.83,Low,17.94,401.83,Low
Nuclear Technicians,17.93,111.17,Low,17.93,111.17,Low,31.29,194.02,Restructuring
Parking Attendants,17.80,23964.20,Low,17.80,23964.20,Low,24.40,32850.74,Restructuring
"Mail Clerks and Mail Machine Operators, Except Postal Service",17.72,11112.91,Low,22.21,13935.01,Restructuring,39.02,24476.69,Restructuring
"Makeup Artists, Theatrical and Performance",17.67,586.74,Low,17.67,586.74,Low,17.67,586.74,Low
Labor Relations Specialists,17.63,11387.42,Low,37.62,24297.41,Restructuring,39.28,25369.08,Restructuring
Quality Control Systems Managers,17.52,7884.53,Low,17.89,8046.84,Low,33.95,15276.15,Restructuring
Etchers and Engravers,17.43,1462.27,Low,17.43,1462.27,Low,31.34,2629.23,Restructuring
"Potters, Manufacturing",17.30,2017.49,Low,17.30,2017.49,Low,24.81,2893.11,Restructuring
Conveyor Operators and Tenders,17.23,4490.79,Low,20.08,5232.64,Restructuring,35.52,9256.91,Restructuring
Chemical Plant and System Operators,17.22,3071.86,Low,17.22,3071.86,Low,19.60,3496.18,Low
"Pourers and Casters, Metal",17.06,994.81,Low,17.06,994.81,Low,22.16,1291.66,Restructuring
"Model Makers, Metal and Plastic",16.98,548.61,Low,16.98,548.61,Low,27.13,876.26,Restructuring
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",16.96,1318.59,Low,21.75,1690.85,Restructuring,21.75,1690.85,Restructuring
Driver/Sales Workers,16.94,70728.32,Low,18.31,76418.13,Low,50.33,210099.29,Moderate
General Internal Medicine Physicians,16.70,11129.04,Low,16.70,11129.04,Low,22.61,15067.06,Restructuring
Nuclear Engineers,16.68,2458.24,Low,16.68,2458.24,Low,26.83,3954.97,Restructuring
Nurse Anesthetists,16.64,8378.90,Low,16.64,8378.90,Low,18.47,9299.13,Low
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.59,7886.84,Low,16.59,7886.84,Low,33.88,16105.66,Restructuring
Correctional Officers and Jailers,16.56,60499.92,Low,18.03,65885.29,Low,27.69,101177.96,Restructuring
Emergency Medicine Physicians,16.51,4021.15,Low,16.51,4021.15,Low,26.91,6555.20,Restructuring
Watch and Clock Repairers,16.48,214.21,Low,16.48,214.21,Low,19.73,256.47,Low
Orthoptists,16.37,1618.20,Low,19.46,1924.03,Low,23.33,2306.40,Restructuring
"Cooks, Institution and Cafeteria",16.33,73195.12,Low,16.33,73195.12,Low,28.22,126483.94,Restructuring
"Packers and Packagers, Hand",16.33,98199.77,Low,25.47,153170.42,Restructuring,29.00,174431.68,Restructuring
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16.32,866.58,Low,16.32,866.58,Low,21.32,1132.06,Restructuring
Agricultural Equipment Operators,16.24,5024.30,Low,16.24,5024.30,Low,16.24,5024.30,Low
"Textile Cutting Machine Setters, Operators, and Tenders",16.22,1453.52,Low,17.74,1589.87,Low,25.42,2277.73,Restructuring
"Coil Winders, Tapers, and Finishers",16.19,1970.88,Low,16.19,1970.88,Low,28.10,3420.26,Restructuring
"Welders, Cutters, Solderers, and Brazers",16.18,68615.68,Low,16.18,68615.68,Low,18.65,79083.41,Low
Recycling Coordinators,16.18,9961.07,Low,19.89,12243.77,Low,41.10,25302.30,Moderate
Furniture Finishers,16.17,2300.63,Low,16.17,2300.63,Low,16.17,2300.63,Low
Shuttle Drivers and Chauffeurs,16.14,47174.15,Low,16.14,47174.15,Low,27.69,80916.97,Restructuring
Tile and Stone Setters,16.11,6240.10,Low,16.11,6240.10,Low,16.11,6240.10,Low
Occupational Health and Safety Technicians,16.05,5049.06,Low,21.75,6841.12,Restructuring,32.54,10234.00,Restructuring
Physical Medicine and Rehabilitation Physicians,16.03,6604.32,Low,16.03,6604.32,Low,16.66,6864.28,Low
Brownfield Redevelopment Specialists and Site Managers,15.93,3595.02,Low,15.93,3595.02,Low,35.42,7993.65,Restructuring
Power Plant Operators,15.78,3393.88,Low,15.78,3393.88,Low,26.17,5629.13,Restructuring
Carpet Installers,15.76,2360.15,Low,15.76,2360.15,Low,15.76,2360.15,Low
Massage Therapists,15.75,15123.56,Low,20.80,19975.47,Restructuring,22.52,21628.08,Restructuring
Psychiatric Technicians,15.72,21429.99,Low,15.72,21429.99,Low,18.76,25569.91,Low
Crematory Operators,15.67,462.37,Low,15.67,462.37,Low,18.71,551.89,Low
Respiratory Therapists,15.65,21348.79,Low,15.65,21348.79,Low,21.73,29645.39,Restructuring
Brickmasons and Blockmasons,15.65,8374.48,Low,18.68,9997.22,Low,18.68,9997.22,Low
Urologists,15.64,3111.78,Low,27.09,5389.30,Restructuring,31.25,6215.53,Restructuring
Helpers--Electricians,15.52,10003.76,Low,15.52,10003.76,Low,15.52,10003.76,Low
Glaziers,15.47,8817.47,Low,15.47,8817.47,Low,16.68,9506.93,Low
"Paper Goods Machine Setters, Operators, and Tenders",15.45,14982.67,Low,15.45,14982.67,Low,34.82,33755.60,Restructuring
Light Truck Drivers,15.34,152538.27,Low,15.34,152538.27,Low,27.47,273137.16,Restructuring
Radiation Therapists,15.26,2854.17,Low,19.52,3650.57,Low,25.64,4794.91,Restructuring
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",15.25,5535.78,Low,15.25,5535.78,Low,24.64,8940.62,Restructuring
Crane and Tower Operators,15.25,6403.02,Low,15.25,6403.02,Low,22.62,9498.85,Restructuring
Biomass Power Plant Managers,15.19,8678.87,Low,18.11,10342.97,Low,34.00,19420.79,Restructuring
"Stone Cutters and Carvers, Manufacturing",15.17,2261.40,Low,17.41,2595.00,Low,18.82,2805.03,Low
Outdoor Power Equipment and Other Small Engine Mechanics,15.17,5193.63,Low,19.06,6525.67,Low,32.57,11151.49,Restructuring
Aviation Inspectors,15.13,1176.05,Low,15.13,1176.05,Low,22.75,1768.41,Restructuring
Fallers,15.08,619.82,Low,15.08,619.82,Low,17.31,711.49,Low
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",15.06,23313.86,Low,15.06,23313.86,Low,23.34,36129.32,Restructuring
"Geological Technicians, Except Hydrologic Technicians",14.98,1094.15,Low,14.98,1094.15,Low,31.74,2318.19,Restructuring
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",14.94,3765.16,Low,14.94,3765.16,Low,14.94,3765.16,Low
Postmasters and Mail Superintendents,14.87,2053.35,Low,17.28,2386.38,Low,62.17,8584.99,High
Loss Prevention Managers,14.87,24404.44,Low,16.16,26530.43,Low,35.18,57758.35,Restructuring
Millwrights,14.86,6043.24,Low,14.86,6043.24,Low,15.88,6457.86,Low
Chemical Equipment Operators and Tenders,14.86,18933.70,Low,22.80,29046.45,Restructuring,28.15,35861.16,Restructuring
Shampooers,14.82,1317.45,Low,14.82,1317.45,Low,32.54,2893.12,Restructuring
Electromechanical Equipment Assemblers,14.80,13481.01,Low,15.62,14227.37,Low,23.67,21564.16,Restructuring
"Airline Pilots, Copilots, and Flight Engineers",14.75,14643.47,Low,14.89,14786.48,Low,33.76,33519.88,Restructuring
"Glass Blowers, Molders, Benders, and Finishers",14.67,738.92,Low,14.67,738.92,Low,19.14,964.32,Low
