category,pct_tasks_affected,workers_affected,wages_affected
Estimate time requirements for development or production projects.,49.44,1078.12,109388278.62
Measure stock or liquid levels in sustainable fuel production systems.,49.44,694.55,50284108.11
Identify job or employment opportunities.,49.44,158.96,14304939.49
"Estimate labor or resource requirements for forestry, fishing, or agricultural operations.",49.44,97.40,8568970.46
Develop theories or models of social phenomena.,49.44,41.44,2689742.88
Download data.,49.44,4565.95,206198213.69
Read to students.,49.37,26317.48,1433306777.17
Evaluate characteristics of individuals to determine needs or eligibility.,49.31,38497.65,2329308036.92
Create schematic drawings for electronics.,49.30,3137.55,309230229.01
Coordinate with external parties to exchange information.,49.20,10220.30,1435826419.73
Interview claimants to get information related to legal proceedings.,49.18,44183.12,6643724575.57
Communicate with other workers to coordinate activities.,48.92,77686.45,2892693959.61
Educate the public about fire safety or prevention.,48.91,1263.45,76429273.02
Maintain medical records.,48.84,149231.71,7752105649.59
Teach daily living skills or behaviors.,48.78,79244.48,2671215948.29
Develop program goals or plans.,48.74,3311.22,169546449.42
Oversee business processes.,48.47,26642.32,2076968832.50
Refer patients to other healthcare practitioners or health resources.,48.46,48225.94,6379474022.99
Inspect systems to determine if they are operating properly.,48.43,58277.16,4546310566.99
Apply decorative masonry finishes.,48.38,8792.09,478518644.46
Advise others on green energy or related technologies.,48.33,4850.98,670304352.92
Maintain electromechanical equipment.,48.22,952.31,67385308.27
Counsel clients regarding interpersonal issues.,47.88,56853.58,3467250294.01
"Communicate technical information to suppliers, contractors, or regulatory agencies.",47.85,10726.25,1167088216.26
Analyze environmental data.,47.61,2298.54,174694648.46
Encourage patients during therapeutic activities.,47.47,13551.06,757747627.16
Attach decorative or functional accessories to products.,47.43,7132.85,294568499.06
Counsel clients or patients with substance abuse issues.,47.37,53371.34,3237759016.56
Prepare medical reports or documents.,47.28,24391.44,944394620.39
Train personnel to enhance job skills.,47.27,69796.44,4808736836.50
Create graphical representations of civil structures.,47.16,35637.02,2791235564.46
Check quality of diagnostic images.,47.16,9848.61,846919047.36
"Create musical compositions, arrangements or scores.",47.16,4289.06,292632991.28
Analyze Geographic Information Systems (GIS) data for use in green applications.,47.16,122.43,13341302.91
Create diagrams or blueprints for workpieces or products.,47.16,3033.51,177009158.39
Participate in athletic events.,47.16,3141.66,156013878.58
Supervise school or student activities.,47.16,101512.22,4548514499.26
Apply decorative coloring to photographs or printed materials.,47.16,23.87,957183.80
Create graphical representations of energy production systems.,47.16,831.84,73074423.08
Apply decorative or textured finishes or coverings.,47.16,19467.25,1112508652.59
Participate in physical training to maintain fitness.,47.16,5697.11,345068269.10
Design jewelry or decorative objects.,47.16,1402.60,68026631.19
Create construction or installation diagrams.,47.16,50558.63,3279458053.51
Enforce rules or policies governing student behavior.,47.16,147921.65,7732579538.21
Interpret research or operational data.,47.13,14905.09,1184682086.21
Analyze logistics processes.,47.12,18688.50,1511525610.72
Train caregivers or other non-medical personnel.,47.08,13247.61,1181830334.00
Intervene in crisis situations to assist clients.,47.04,14059.39,924605944.48
Analyze data to inform operational decisions or activities.,46.94,248931.56,30983285418.19
Develop financial plans for clients.,46.90,14191.88,863871778.37
Maintain data in information systems or databases.,46.88,114641.79,8719228558.94
Write grant proposals.,46.78,4911.73,435585538.25
Train service staff.,46.62,30762.61,1557688944.41
Teach others to use technology or equipment.,46.61,106020.11,6061270655.31
Examine personal documentation to ensure that it is valid.,46.59,55467.59,4172927813.73
Counsel family members of clients or patients.,46.48,15672.15,1000772627.48
"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",46.46,68212.77,6462180778.49
Train construction or extraction personnel.,46.45,33905.59,2266597309.34
Record shipping information.,46.34,8992.31,368300334.05
Manage content of broadcasts or presentations.,46.30,4703.91,354796298.20
Collaborate with law enforcement or security agencies to share information.,46.22,14215.01,1148485661.78
Train personnel in technical or scientific procedures.,46.11,4441.84,341872733.61
Develop technical or scientific databases.,46.11,8174.58,593938859.92
Coordinate project activities with other personnel or departments.,46.00,52395.69,4721597588.67
Analyze forecasting data to improve business decisions.,45.99,75938.71,11782680021.95
Interview people to gather information about criminal activities.,45.86,2669.38,225615455.21
Train others on work processes.,45.82,10053.70,549846595.18
Advise others regarding green practices or environmental concerns.,45.82,9504.48,1013434374.05
Develop working relationships with others to facilitate program activities.,45.80,8856.62,526728942.26
Manage inventories of products or organizational resources.,45.74,21076.67,1867456129.65
Guide patrons on tours.,45.70,3749.54,213007429.43
Advise others about environmental management or conservation.,45.69,5960.02,436716566.68
Train others in operational procedures.,45.68,68200.59,4190943875.57
Develop organizational goals or objectives.,45.67,181496.58,24682145336.60
Advise communities or institutions regarding health or safety issues.,45.64,29418.48,4065553524.29
Sort mail.,45.46,130069.94,6658198598.91
Analyze data to assess operational or project effectiveness.,45.24,8050.46,1547667982.68
Enforce rules or regulations.,45.08,125634.91,5515603787.92
Manage preparation of special meals or diets.,45.03,34809.16,1094891153.26
Advocate for individual or community needs.,45.02,20636.49,1412859697.39
Level machines or equipment.,44.99,762.46,37673303.16
"Train employees on environmental awareness, conservation, or safety topics.",44.98,2846.08,336639373.76
Assess individual or community needs for educational or social services.,44.98,6988.95,439440016.95
Develop collaborative relationships between departments or with external organizations.,44.98,8085.13,563872202.84
"Train workers in farming, forestry, or hunting techniques.",44.98,1130.28,67059558.60
"Assess patient work, living, or social environments.",44.98,28751.56,2691146219.36
Evaluate patient outcomes to determine effectiveness of treatments.,44.76,27313.40,2682823632.16
Modify treatment plans to accommodate client needs.,44.76,19228.44,1300043880.95
Assess skin or hair conditions.,44.53,26256.67,977578407.61
Customize energy products or services to meet customer needs.,44.38,4035.85,403867473.55
Train medical providers.,44.21,77964.55,8048186855.68
Teach health or hygiene practices.,44.16,211523.42,7422044119.53
Develop educational programs.,44.13,25170.94,2099700888.75
Develop plans for programs or services.,44.13,3312.17,177379275.63
Develop treatment plans that use non-medical therapies.,43.55,26236.71,2816871549.96
Instruct workers to use equipment or perform technical procedures.,43.43,62423.83,3475352237.92
Develop sustainable organizational policies or practices.,43.39,13732.16,1991748910.05
Organize recreational activities or events.,43.30,30386.82,1048804862.64
Prevent unauthorized individuals from entering restricted areas.,43.24,74729.45,2952395737.93
Develop organizational policies or programs.,43.15,343814.90,37726289675.15
Teach exercise or fitness techniques.,43.11,77646.98,3591821193.30
Evaluate potential problems in home or work environments of clients.,43.08,22092.87,1327849854.30
Instruct patients in the use of assistive equipment.,43.05,22779.24,1937590332.15
Prepare financial documents.,43.02,66720.62,5310268507.94
Teach medical procedures to healthcare personnel.,42.97,6165.15,373213425.11
Coordinate timing of food production activities.,42.94,61829.62,2511891575.15
Record personnel information.,42.89,98072.59,4990093739.41
Teach safety standards or environmental compliance methods.,42.72,328.26,35113330.55
Develop financial or business plans.,42.60,7981.07,537935114.31
Coordinate training activities.,42.59,79550.65,5238410332.89
Maintain public order or security.,42.58,79211.20,3264705768.61
"Provide security escorts for officials, jury members, or other individuals.",42.58,1181.57,67408703.03
Teach physical education.,42.58,11151.55,529759024.82
Engage patients in exercises or activities.,42.58,136914.04,5072977615.93
Guard facilities.,42.58,12965.87,838686411.52
Apprehend criminal suspects.,42.58,9284.90,679484503.11
Block physical access to restricted areas.,42.58,46868.51,1859651976.21
Use weapons or physical force to maintain security.,42.58,32147.33,1408529020.88
Detain suspects or witnesses.,42.58,13796.52,1108257958.67
Maintain safety.,42.58,17690.97,960459077.22
Coordinate construction project activities.,42.52,108211.76,8515183353.82
Recruit personnel.,42.49,47002.33,5587274043.59
Advise others on health and safety issues.,42.45,8720.27,901042103.45
Document information related to legal proceedings.,42.36,21387.33,1727484332.21
Test biological specimens to gather information about patient conditions.,42.31,16335.03,1141197965.79
Monitor organizational processes.,41.97,5146.47,416246166.46
Maintain client information or service records.,41.77,246505.04,8654237280.57
Collaborate with outside groups to develop programs or projects.,41.75,2093.44,165253404.09
Provide safety training.,41.47,5953.23,247484910.69
Monitor alarm systems.,41.46,4998.09,240814074.11
Develop instructional objectives.,41.23,141299.14,9665270491.50
Represent the organization in external relations.,40.98,11387.66,1387796458.05
Design electronic or computer equipment or instrumentation.,40.97,45931.22,4895336968.48
Document organizational or operational procedures.,40.90,15301.27,1531687783.37
Encourage patients or clients to develop life skills.,40.42,6153.58,276147813.65
Advise others on management of emergencies or hazardous situations or materials.,40.42,902.09,54610198.12
Interview others for news or entertainment purposes.,40.42,1082.90,73968341.94
"Interview witnesses, suspects, or claimants.",40.42,23294.70,1809784162.33
Interview clients to gather financial information.,40.42,14003.33,1089661760.32
Interview people to obtain information about actions or status of individuals.,40.42,56425.25,4280609813.69
Discuss service options or needs with clients.,40.42,10476.91,379191931.63
Direct facility maintenance or repair activities.,40.37,100954.06,7937273508.84
Design electromechanical equipment or systems.,40.36,7214.88,767855988.13
Monitor nutrition related activities of individuals or groups.,40.13,24544.29,1467213783.15
Coordinate software or hardware installation.,40.11,32202.11,3393758714.06
Analyze risks to minimize losses or damages.,40.05,10670.82,1333983723.22
Collaborate with other teaching professionals to develop educational programs.,40.05,72580.37,4222070715.80
Supervise information technology personnel.,39.98,13009.91,1342168899.00
Schedule operational activities.,39.93,109424.43,5575809026.33
Coordinate student extracurricular activities.,39.78,20865.88,1357572267.98
Solder parts or connections between parts.,39.70,5453.05,464334405.76
Serve on institutional or departmental committees.,39.24,14215.33,1310796107.26
Manage information technology projects or system activities.,39.12,42589.79,4642487043.44
Gather medical information from patient histories.,38.92,19797.31,2693800776.34
Prepare investigation or incident reports.,38.64,16091.20,1106159742.03
Construct exhibits or parts of exhibits.,38.43,1892.70,109467345.36
Inspect electrical or electronic systems for defects.,38.32,11910.24,796322752.71
Test products for functionality or quality.,38.20,16938.13,1091921001.14
Prepare project budgets.,38.10,11320.10,1180053909.84
Order medical diagnostic or clinical tests.,37.90,37363.17,6003044200.29
Assess financial status of clients.,37.84,67087.05,5868215894.37
Record production information.,37.80,4085.53,186504319.05
Repair green energy equipment or systems.,37.73,5919.23,300462862.26
Prepare reports related to compliance matters.,37.47,21150.15,2765461410.89
Develop organizational methods or procedures.,37.09,9250.87,1184984572.62
Prepare reports detailing student activities or performance.,36.96,31882.13,1925363267.23
Evaluate construction projects to determine compliance with external standards or regulations.,36.91,11746.20,891609483.36
Obtain personal or financial information about customers or applicants.,36.77,30161.35,1331530853.47
Design environmental control systems.,36.66,8308.26,840909980.78
Monitor inventories of products or materials.,36.47,135542.99,7614019627.94
Monitor organizational compliance with regulations.,36.37,117531.32,7466374867.41
Manage outreach activities.,36.33,2043.63,379737028.06
Collect biological specimens.,35.80,4690.41,248323108.76
"Develop operating strategies, plans, or procedures.",35.76,84360.15,11775600973.54
Document operational activities.,35.74,202202.43,16789149538.09
Prepare official health documents or records.,35.71,7577.93,377733323.02
Manage budgets for appropriate resource allocation.,35.61,5873.22,596002718.34
Monitor work environment to ensure safety or adherence to specifications.,35.54,7736.14,459836266.41
Prepare biological samples for testing or analysis.,35.53,7205.86,418911373.55
Develop environmental research methods.,35.32,222.58,21690696.97
Manage organizational or program finances.,35.04,4685.64,230110328.34
Maintain the order of legal documents.,34.90,52889.81,3226807379.60
Document operational procedures.,34.85,16523.51,2008903683.45
Manage financial activities of the organization.,34.75,4311.45,546575679.22
Develop marketing plans or strategies for environmental initiatives.,34.58,5395.32,999807893.03
Inspect facilities or equipment to ensure specifications are met.,34.44,6970.68,405063956.81
Mark reference points on construction materials.,34.39,94855.83,5124744887.30
Evaluate plans or specifications to determine technological or environmental implications.,34.18,937.56,102104987.85
Collaborate with other agencies and institutions to coordinate educational matters.,34.16,2534.55,195647322.03
Plan programs to address community mental wellness needs.,34.11,5363.84,336673220.29
Monitor animal behavior or condition.,33.94,2013.99,262412633.88
Collect information about clients.,33.87,33288.45,2061471895.60
Apply solutions to hair for therapeutic or cosmetic purposes.,33.67,10864.71,378246775.68
Control prescription refills or authorizations.,33.53,50661.21,2239225406.06
Prepare legal or investigatory documentation.,33.51,12850.58,995633963.46
Coordinate artistic activities.,33.50,6425.97,590680817.10
Resolve operational performance problems.,33.40,9657.77,483096078.04
Design structures or facilities.,33.10,21463.41,2288196928.09
Conduct eligibility or selection interviews.,33.00,49869.65,3514678563.36
Meet with individuals involved in legal processes to provide information and clarify issues.,32.99,8500.58,1021217938.02
Incorporate green features into the design of structures or facilities.,32.88,7803.15,751710065.51
Maintain financial or account records.,32.76,471212.45,20489096434.08
Prepare proposal documents or grant applications.,32.74,205.89,17360810.60
Examine financial records or processes.,32.72,37896.57,3081572182.52
Plan experiential learning activities.,32.71,16542.73,1065245079.76
Coordinate operational activities with external stakeholders.,32.56,40209.19,6647563296.29
Plan biological research.,32.55,1321.96,123378672.45
Repair electrical components.,32.47,7640.10,384762119.80
Design industrial equipment.,32.08,6318.06,637668601.57
Develop daily schedules for children or families.,32.07,6411.86,205500095.62
Operate audio recording equipment.,32.06,2596.82,124421356.63
"Schedule repair, installation or maintenance activities.",32.03,52017.82,4072995448.24
Maintain medical facility records.,32.02,79059.21,7384427869.94
Design public or employee health programs.,31.99,11515.56,1519497283.21
Estimate operational costs.,31.84,15230.02,1319533767.42
Analyze shipping information to make routing decisions.,31.83,17182.42,718001932.56
Communicate with government agencies.,31.80,21571.39,1645071192.17
Collaborate with other professionals to assess client needs or plan treatments.,31.79,44121.97,2764079378.31
Develop tools to diagnose or assess needs.,31.75,2821.13,177731086.73
Analyze energy usage data.,31.68,6583.42,544586623.39
Communicate test or assessment results to medical professionals.,31.54,6995.78,614404003.74
"Melt metal, plastic, or other materials to prepare for production.",31.48,1970.16,94288959.65
Collect environmental data or samples.,31.39,2005.03,165916907.49
Assess compliance with environmental laws.,31.03,3063.85,185629280.33
Monitor industrial energy consumption or management.,30.90,481.67,38562437.89
"Maintain records, documents, or other files.",30.88,45385.04,3340377760.83
Display student work.,30.84,28512.38,1786840628.28
Inventory medical supplies or equipment.,30.77,8636.81,362077144.01
Record vital statistics or other health information.,30.66,31562.24,1300661224.75
Plan facility layouts or designs.,30.55,6854.36,449293734.89
Assist clients in handling details of daily life.,30.51,17473.56,958126508.89
Develop promotional strategies or plans.,30.49,66510.79,4642388891.05
"Send information, materials or documentation.",30.48,111290.10,5957870013.36
Collaborate with law enforcement or security agencies to respond to incidents.,30.28,553.51,30224182.22
Negotiate agreements to resolve disputes.,30.18,15988.89,1230169514.16
"Install green structural components, equipment or systems.",30.14,474.97,22855364.97
Direct construction or extraction personnel.,30.11,159763.09,12179999654.12
Communicate situation details to appropriate personnel.,29.99,10581.16,556989310.26
Coordinate operational activities.,29.62,153174.27,9088579810.42
Model operational processes.,29.62,8833.95,945055873.55
Collect samples for analysis or testing.,29.59,1794.97,78745339.75
Confer with court staff to clarify information.,29.51,2681.64,147916777.93
Maintain operational records or records systems.,29.50,17720.16,1781644507.84
Make decisions in legal cases.,29.41,1457.11,150823384.39
Plan environmental research.,29.40,1343.67,96840225.62
Test green technology installations to verify performance.,29.33,989.46,51313331.48
Design industrial processing systems.,29.12,6846.23,717903949.85
Negotiate sales or lease agreements for products or services.,28.84,11707.67,762139248.86
Document client health or progress.,28.78,209460.90,7313220571.88
Monitor environmental conditions to detect hazards.,28.71,12034.85,405815162.06
"Collect information from people through observation, interviews, or surveys.",28.70,6694.99,549598124.01
Record patient medical histories.,28.70,312897.86,32255382637.36
Perform human resources activities.,28.66,39198.02,2809014352.42
Process animal carcasses.,28.44,21493.01,839949824.79
Determine pricing or monetary policies.,28.40,232280.53,24955678612.16
"Evaluate patient functioning, capabilities, or health.",27.96,85382.14,7484328092.12
Direct activities of subordinates.,27.85,5677.93,338218993.27
Record research or operational data.,27.70,10254.08,744896045.59
Hire personnel.,27.69,72124.53,8484612133.65
Serve food or beverages.,27.68,521340.58,16691696293.13
Coordinate special events or programs.,27.63,16151.13,2370017304.45
Prepare operational reports.,27.59,80678.48,6289834241.31
Maintain call records.,27.54,2277.83,87400400.08
Supervise trainees.,27.33,544.10,62810917.79
Organize special events.,27.32,14413.03,856710538.97
Clean objects.,27.22,3043.63,174419843.92
Report maintenance or equipment problems to appropriate personnel.,27.15,100709.34,7422525874.59
Groom wigs or hairpieces.,27.14,17113.03,603234296.32
Monitor biofuel production operations.,27.10,1137.75,70210581.87
Prepare operational progress or status reports.,27.06,60851.96,9594086967.34
Mark materials or objects for identification.,27.05,98822.97,3990245151.02
Operate energy distribution equipment.,26.96,2482.30,230407628.75
Evaluate employee performance.,26.83,96929.21,13877996647.79
Monitor environmental impacts of production or development activities.,26.80,5713.44,333856288.95
Stock products or parts.,26.64,90936.16,6119142350.91
"Cut carpet, vinyl or other flexible materials.",26.45,9494.56,492902195.79
Determine operational compliance with regulations or standards.,26.25,15477.63,1573113988.06
Supervise laboratory work.,26.21,21114.18,1898860898.09
Review customer insurance information.,26.03,139810.15,6780516126.49
Repair medical facility equipment.,25.94,5386.93,356830200.87
Devise research or testing protocols.,25.92,5000.19,518643943.50
Estimate costs for labor or materials.,25.70,25627.73,1847863737.67
Monitor patient progress or responses to treatments.,25.68,132932.18,13101887802.18
Design control systems for mechanical or other equipment.,25.58,11842.28,1328252280.83
"Apply cleansing or conditioning agents to client hair, scalp, or skin.",25.57,12323.38,512159579.83
Develop patient therapy programs.,25.54,8309.71,382661942.62
Test characteristics of materials or structures.,25.39,10017.62,939698106.28
Operate audiovisual equipment.,25.36,9886.49,380333100.56
"Inspect metal, plastic, or composite products.",25.29,12728.24,582683752.60
Provide escort or transportation.,25.18,2795.64,99503325.99
Operate diagnostic imaging equipment.,25.17,38455.26,5041363295.30
Establish organizational guidelines or policies.,25.17,21905.81,2105877327.42
"Test materials, solutions, or samples.",25.14,7532.13,404707425.02
Evaluate personnel practices to ensure adherence to regulations.,25.14,48120.45,3732836250.52
Apply paint to surfaces.,25.07,1099.06,65573707.21
Package food or supplies.,25.05,72906.55,2292658111.58
Assist individuals with special needs.,24.97,200014.71,6981556340.63
"Treat acute illnesses, infections, or injuries.",24.91,15344.70,2255987454.35
Repair electrical circuits or wiring.,24.90,7068.61,454485512.77
Prepare medical instruments or equipment for use.,24.86,52217.57,2459997908.26
Record crime or accident scene evidence with video or still cameras.,24.75,1554.25,93130258.12
Install production equipment or systems.,24.73,2365.85,258221024.45
"Collect medical information from patients, family members, or other medical professionals.",24.56,80268.63,6099166871.37
"Prepare financial documents, reports, or budgets.",24.45,136119.08,12608601110.53
Research crop management methods.,24.32,843.39,68297741.82
"Document events or evidence, using photographic or audiovisual equipment.",24.22,785.49,37279453.56
"Coordinate activities with suppliers, contractors, clients, or other departments.",23.94,8009.57,451099088.61
"Develop safety standards, policies, or procedures.",23.82,4013.91,425221596.93
"Collect deposits, payments or fees.",23.79,399088.93,17008570566.53
Research livestock management methods.,23.66,405.15,32055718.76
Inspect buildings or grounds to determine condition.,23.65,8550.54,406321784.69
Mediate disputes.,23.38,4211.13,163023349.32
Perform housekeeping duties.,23.26,97181.11,3372968271.81
Prepare patients physically for medical procedures.,23.10,77316.24,3747583363.55
Maintain inventory of medical supplies or equipment.,23.00,56400.21,3404784381.87
Collaborate with other professionals to develop education or assistance programs.,22.95,5019.96,292977583.86
Maintain records of sales or other business transactions.,22.95,209239.25,8877498083.74
Maintain social services program records.,22.92,21786.95,983026962.65
Inspect work environments to ensure safety.,22.77,1245.89,63274500.95
Negotiate prices or other sales terms.,22.75,75599.20,5390384907.05
Usher patrons to seats or exits.,22.70,17151.78,560348640.57
Resolve employee or contractor problems.,22.68,14369.12,2459993051.38
"Repair worn, damaged, or defective mechanical parts.",22.66,49270.45,2910928009.84
Maintain office equipment in proper operating condition.,22.64,32946.37,1474910546.39
Manage human resources activities.,22.45,70972.03,8458699956.68
Assist practitioners to perform medical procedures.,22.35,44305.85,2095690769.73
Inform medical professionals regarding patient conditions and care.,22.27,21552.82,2076537097.61
Inspect facilities for cleanliness.,22.17,7751.81,261391101.22
Inspect equipment to locate or identify electrical problems.,22.17,2586.34,253482134.86
Develop educational or training programs.,22.16,10998.90,372823982.96
Direct healthcare delivery programs.,21.79,6524.52,925207558.53
"Select staff, team members, or performers.",21.75,6510.84,519005794.62
Collect samples of raw materials or finished products.,21.73,380.23,22391611.83
Arbitrate disputes between parties to resolve legal conflicts.,21.68,22889.65,1398505981.65
"Evaluate performance of applicants, trainees, or employees.",21.65,308.46,20005304.66
Draft legislation or regulations.,21.43,580.25,26001039.71
Coordinate enforcement of laws or regulations.,21.39,476.16,35879454.48
Install machine or equipment replacement parts.,21.35,2706.58,189495112.92
Prepare information or documentation related to legal or regulatory matters.,21.22,13050.75,796576436.52
"Operate cooking, baking, or other food preparation equipment.",21.20,14635.49,596981828.50
Inspect vehicles to determine overall condition.,21.18,1938.58,94304357.87
Operate industrial equipment.,21.13,4762.92,403912720.52
Estimate costs for projects or productions.,20.98,2857.27,191051925.59
Manage food service operations or parts of operations.,20.89,35137.29,1444562235.46
Monitor organizational procedures to ensure proper functioning.,20.85,27641.06,4318949129.05
"Direct sales, marketing, or customer service activities.",20.84,164194.38,25106780479.54
Monitor instruments to ensure proper production conditions.,20.80,7251.67,319097271.42
Mount attachments or tools onto production equipment.,20.75,28222.83,1321330250.46
Write operational reports.,20.69,99823.56,4039338849.89
Plan programs to address community health issues.,20.68,4928.19,303146400.20
Repair electrical equipment.,20.67,77804.32,4851099117.01
Position patients for treatment or examination.,20.66,12985.83,1101851740.78
Test fluids to identify contamination or other problems.,20.63,4314.03,229602647.74
Spread concrete or other aggregate mixtures.,20.50,12237.42,584155908.81
Prepare proposals or grant applications to obtain project funding.,20.48,1971.52,329906680.94
Monitor video displays of medical equipment to ensure proper functioning.,20.39,3704.33,330945161.53
Apply mortar.,20.37,3746.49,195498352.09
Monitor access or flow of people to prevent problems.,20.34,76799.95,3114359797.21
"Examine mouth, teeth, gums, or related facial structures.",20.30,12002.36,2073888564.46
Sort materials or products.,20.26,2223.78,82990021.22
Monitor health or behavior of people or animals.,20.08,18189.77,657427360.45
"Inspect mechanical equipment to locate damage, defects, or wear.",19.94,48505.76,2349067724.91
Arrange delivery of goods or services.,19.90,11115.56,477385543.81
Monitor operations to ensure compliance with safety or security policies or regulations.,19.88,23720.34,1406967786.61
Operate laboratory equipment to analyze medical samples.,19.84,6445.84,398932912.51
Accompany patients or clients on outings to provide assistance.,19.56,76781.99,2679691588.16
Coordinate reporting or editing activities.,19.51,1428.59,86115695.87
Coordinate athletic or sporting events or activities.,19.44,26072.74,1197260312.46
Design electrical equipment or systems.,19.37,12955.49,1447186563.82
Cut openings in existing structures.,19.32,2471.79,143709804.95
Direct security operations.,19.32,149.42,6559442.95
Develop sustainable industrial or development methods.,19.29,1038.05,83105883.54
Handle luggage or other possessions for patrons.,19.29,5700.47,236341515.61
Respond to emergencies to provide assistance.,19.28,40595.73,1737462309.60
Prepare biological specimens for laboratory analysis.,19.26,26871.77,1485041144.90
Cut materials according to specifications or needs.,19.23,4766.16,267984888.34
Supervise medical support personnel.,19.16,3433.61,357294371.18
Operate laboratory or field equipment.,19.12,1777.06,216921405.98
Calculate data to inform organizational operations.,19.02,21303.70,1711255666.03
Inspect industrial or commercial equipment to ensure proper operation.,18.94,10439.88,634891338.20
Coordinate activities of production personnel.,18.83,4774.88,356507187.92
Repair electronic equipment.,18.76,31078.73,2407833245.18
Adjust dental devices or appliances to ensure fit.,18.76,79.45,14237958.94
Service green vehicles to make repairs or maintain good working order.,18.65,7090.88,429991218.28
Warn individuals about rule violations or safety concerns.,18.64,26254.89,1023290661.65
Develop environmental remediation or protection plans.,18.58,2400.24,307524240.87
Serve court ordered documents.,18.52,14877.13,907849879.36
Assemble equipment or components.,18.47,5270.86,428659336.89
Inspect equipment or systems.,18.46,2308.95,257054638.10
Supervise service workers.,18.39,15602.12,574587694.98
Evaluate quality of food ingredients or prepared foods.,18.37,5451.12,222351210.28
Administer non-intravenous medications.,18.32,9819.94,1054815001.60
Create advanced digital images of patients using computer imaging systems.,18.30,9991.31,851218472.88
Test patient heart or lung functioning.,18.25,4207.74,306023403.92
Research issues related to the environment or sustainable business practices.,18.21,6368.75,501634546.42
Participate in staffing decisions.,18.18,1838.10,211624640.11
Sell products or services.,18.10,126088.61,5449788641.39
"Manage operations, research, or logistics projects.",18.06,43615.92,7016934730.50
Install metering equipment.,17.88,2107.97,195113243.61
Install home appliances.,17.81,6127.05,366458781.07
Monitor the productivity or efficiency of industrial operations.,17.78,6697.67,705763000.82
Direct administrative or support services.,17.60,2985.51,203402777.07
Trim client hair.,17.47,17113.03,603234296.32
Evaluate energy production data.,17.45,1667.25,199855763.67
Cut metal components for installation.,17.39,10269.45,485297474.37
Notify others of equipment problems.,17.37,252.66,13623532.98
Locate suspicious objects or vehicles.,17.29,19047.76,1375723729.69
Inspect condition or functioning of facilities or equipment.,17.28,14170.84,1594026892.71
Prepare medical supplies or equipment for use.,17.17,10574.11,1106587918.88
Record operational or production data.,17.10,86740.34,4186911527.35
Prepare operational budgets.,17.08,32325.71,3025403478.15
Maintain operational records.,17.03,107416.41,10538166329.64
Test quality of materials or finished products.,16.98,1873.87,163240893.73
Diagnose dental conditions.,16.91,3028.42,523280679.45
Operate mixing equipment.,16.89,9075.24,386274301.20
"Record information about parts, materials or repair procedures.",16.87,15601.83,984356081.32
Install audio or communications equipment.,16.87,4868.79,341932812.88
Examine patients to assess general physical condition.,16.84,22672.05,3066886319.57
Arrange childcare or educational settings to ensure physical safety of children.,16.80,1802.64,110735878.65
Apply identification labels or tags.,16.77,1414.08,52321011.46
"Fit eyeglasses, contact lenses, or other vision aids.",16.74,3220.79,149960142.31
Inspect plumbing systems or fixtures.,16.65,10316.48,677955857.53
Inspect products or operations to ensure that standards are met.,16.58,2557.03,179984476.74
Monitor medical facility activities to ensure adherence to standards or regulations.,16.55,7102.84,625922027.87
Reconcile records of sales or other financial transactions.,16.54,60263.00,2361650748.58
Inspect completed work to ensure proper installation.,16.54,24289.20,1477997984.01
Testify at legal or legislative proceedings.,16.48,3432.91,493833890.03
Inspect finished products to locate flaws.,16.44,10278.19,701682261.21
Inspect facilities or sites to determine if they meet specifications or standards.,16.16,7490.93,710667868.64
Record sales or transactions data.,16.13,9462.28,329760375.58
Maintain contingency plans for disaster recovery.,16.10,1719.95,146731568.21
Investigate the environmental impact of projects.,15.98,2123.30,197055395.54
Diagnose medical conditions.,15.97,85381.58,8926993820.85
Operate woodworking equipment.,15.97,1356.47,54950475.97
Prepare outgoing mail.,15.95,12602.98,736872553.12
Remove snow.,15.92,180.61,10249502.89
Inspect equipment to ensure safety or proper functioning.,15.85,96287.54,3694552734.20
"Sort materials or products for processing, storing, shipping, or grading.",15.82,24141.89,940098013.08
Coordinate legal schedules or activities.,15.80,6497.31,368758308.78
Assess educational needs of students.,15.75,11375.26,518463027.49
"Maintain inventories of materials, equipment, or products.",15.57,40772.34,2458621361.10
Examine financial records.,15.50,34523.15,2771031083.14
Count finished products or workpieces.,15.48,1108.57,54722053.19
Follow protocols or regulations for healthcare activities.,15.32,3561.05,252547123.33
Appraise property values.,15.29,11535.56,721058100.28
Analyze data to determine project feasibility.,15.20,18213.89,3115666503.46
Care for women during pregnancy and childbirth.,14.99,2307.28,156764167.19
"Analyze operational data to evaluate operations, processes or products.",14.99,7805.39,753451066.18
Prescribe treatments or therapies.,14.96,4940.25,968007459.44
Verify that medical activities or operations meet standards.,14.95,1986.18,247642006.86
Evaluate capabilities or training needs.,14.82,16191.35,786968039.92
Process x-rays or other medical images.,14.79,1446.74,140362978.75
"Direct organizational operations, projects, or services.",14.71,136426.22,18894794164.49
Transcribe spoken or written information.,14.71,47502.52,2102224973.92
Supervise technical medical personnel.,14.69,3333.10,206285857.04
Prepare accident or incident reports.,14.52,5109.93,406185818.26
Maintain logs of production activities.,14.50,1027.45,55399971.54
Measure clients to ensure proper product fit.,14.50,160.86,5535276.50
