iwa,date,pct_tasks_affected,workers_affected,wages_affected
Set up equipment.,2025-03-06,58.21,167869.57,7814423432.34
"Set up computer systems, networks, or other information systems.",2025-03-06,55.74,167388.33,13814573916.89
"Maintain electronic, computer, or other technical equipment.",2025-03-06,54.87,164161.38,13754708917.40
Manage human resources activities.,2025-03-06,19.87,162697.33,13632627757.81
Develop patient or client care or treatment plans.,2025-03-06,33.01,160871.32,16479523433.14
Provide information or assistance to the public.,2025-03-06,58.99,155229.13,10914547757.90
Operate communications equipment or systems.,2025-03-06,51.30,154392.93,8127063343.84
"Evaluate designs, specifications, or other technical data.",2025-03-06,53.89,153662.20,16324889167.78
Verify personal information.,2025-03-06,48.75,152769.97,10704070594.41
"Examine financial activities, operations, or systems.",2025-03-06,13.78,149009.76,8703273262.87
Monitor resources or inventories.,2025-03-06,12.73,148189.94,9175802579.82
Assign work to others.,2025-03-06,5.60,146132.95,7595293645.77
Explain financial information.,2025-03-06,57.39,144600.74,10394553916.14
Process shipments or mail.,2025-03-06,17.26,142883.07,7619694247.93
Notify others of emergencies or problems.,2025-03-06,8.34,141017.71,9149044130.29
Advise others on legal or regulatory matters.,2025-03-06,50.23,140666.84,17803448974.76
Consult legal materials or public records.,2025-03-06,52.26,138057.39,13116835442.70
Manage budgets or finances.,2025-03-06,18.53,133685.61,17381040639.22
"Prepare financial documents, reports, or budgets.",2025-03-06,13.19,132720.31,12220123151.51
Sort materials or products.,2025-03-06,18.40,130964.83,6022341796.50
Develop recipes or menus.,2025-03-06,61.30,129361.76,5303472896.53
Write material for artistic or commercial purposes.,2025-03-06,60.03,129163.34,9335347340.95
Sell products or services.,2025-03-06,11.47,129111.95,6603713147.94
Develop marketing or promotional materials.,2025-03-06,70.79,128698.97,10107702746.27
Negotiate contracts or agreements.,2025-03-06,15.05,125324.87,10119285632.35
Advise others on healthcare or wellness issues.,2025-03-06,48.19,122988.18,12298391045.74
Advise patients or clients on medical issues.,2025-03-06,45.97,119119.31,13400635421.57
Develop organizational or program goals or objectives.,2025-03-06,31.34,115868.41,13086342716.89
"Document technical designs, procedures, or activities.",2025-03-06,55.94,115714.02,11704830356.65
Develop professional relationships or networks.,2025-03-06,49.14,113931.39,10370776484.08
Develop technical specifications for products or operations.,2025-03-06,58.20,113827.68,11193818772.48
Authorize business activities or transactions.,2025-03-06,25.56,108647.58,15782639166.99
Monitor financial data or activities.,2025-03-06,10.89,107238.64,9399226663.13
Direct construction or extraction activities.,2025-03-06,9.61,106875.66,8939988127.02
Confer with healthcare or other professionals about patient care.,2025-03-06,12.64,104703.53,8286955158.45
"Inspect commercial, industrial, or production systems or equipment.",2025-03-06,7.18,103623.06,6563388976.20
Analyze scientific or applied data using mathematical principles.,2025-03-06,54.67,102858.70,12359892070.79
"Research laws, precedents, or other legal data.",2025-03-06,55.07,100295.47,13876101352.15
Escort others.,2025-03-06,19.23,99265.17,3469855911.30
Monitor operations to ensure compliance with regulations or standards.,2025-03-06,14.47,99185.11,7970354618.92
Analyze biological or chemical substances or related data.,2025-03-06,50.88,98803.84,8277365138.17
Advise others on financial matters.,2025-03-06,52.39,98396.58,8167409411.53
"Replenish inventories of materials, equipment, or products.",2025-03-06,13.07,98368.03,6695581596.01
Edit written materials or documents.,2025-03-06,64.04,98289.59,8545215070.10
Diagnose system or equipment problems.,2025-03-06,57.81,95545.69,5888537454.98
Inspect completed work or finished products.,2025-03-06,8.81,91042.43,5143933570.57
"Assess living, work, or social needs or status of individuals or communities.",2025-03-06,44.67,90492.49,6420088092.19
Research technology designs or applications.,2025-03-06,56.78,89359.96,9236460762.71
Position materials or components for assembly.,2025-03-06,8.36,88944.03,4940082823.80
Collect information about patients or clients.,2025-03-06,9.56,87423.80,5222738483.36
Monitor health conditions of humans or animals.,2025-03-06,7.91,85350.60,5318320582.08
Confer with clients to determine needs or order specifications.,2025-03-06,45.43,79895.34,5129138167.22
Plan events or programs.,2025-03-06,66.26,79279.91,6706029565.30
Prepare legal or regulatory documents.,2025-03-06,27.96,77995.28,5854393242.79
"Move materials, equipment, or supplies.",2025-03-06,5.20,74833.76,2575269861.54
Package objects.,2025-03-06,4.92,74320.64,2344979123.04
Analyze performance of systems or equipment.,2025-03-06,53.99,73661.72,6018165877.69
Repair tools or equipment.,2025-03-06,11.34,73118.62,4137127858.53
"Coordinate activities with clients, agencies, or organizations.",2025-03-06,22.13,71758.48,9141044223.31
Maintain tools or equipment.,2025-03-06,5.43,71302.28,3963994385.65
Prepare proposals or grant applications.,2025-03-06,34.79,67829.43,5259179387.54
"Research organizational behavior, processes, or performance.",2025-03-06,55.74,67350.76,5373557968.42
Schedule operational activities.,2025-03-06,11.37,67348.14,3538944597.06
Care for plants or animals.,2025-03-06,54.50,66628.56,2594237588.52
Mark materials or objects for identification.,2025-03-06,6.46,66379.42,2896357403.67
Monitor operations to ensure adequate performance.,2025-03-06,5.30,65893.93,6356835851.07
Collaborate in the development of educational programs.,2025-03-06,32.72,65602.91,3783314050.95
Install commercial or production equipment.,2025-03-06,12.70,65584.76,4554134351.20
Analyze business or financial risks.,2025-03-06,26.38,64512.02,5868330719.05
Implement security measures for computer or information systems.,2025-03-06,43.07,62811.87,6890648371.21
Repair electrical or electronic equipment.,2025-03-06,16.22,62623.95,4174671122.96
Direct scientific or technical activities.,2025-03-06,11.18,61098.99,6543539407.00
Estimate project development or operational costs.,2025-03-06,20.96,61089.88,4573292922.39
Evaluate patient or client condition or treatment options.,2025-03-06,11.62,57624.12,3259091754.95
Prepare schedules for services or facilities.,2025-03-06,14.97,57050.01,2420621500.36
Issue documentation.,2025-03-06,55.28,54813.13,2595217513.33
"Evaluate condition of financial assets, property, or other resources.",2025-03-06,17.21,50494.88,4373171041.72
Assess characteristics or impacts of regulations or policies.,2025-03-06,58.25,50324.19,4485777469.42
Evaluate personnel capabilities or performance.,2025-03-06,16.82,49749.39,3677523775.82
Research biological or ecological phenomena.,2025-03-06,53.69,49594.02,4458588650.22
"Develop models of systems, processes, or products.",2025-03-06,56.20,49464.31,5698267873.31
Monitor equipment operation.,2025-03-06,5.41,42745.55,2821048567.00
Operate medical equipment.,2025-03-06,10.17,41785.17,5002137343.23
Intervene in crisis situations or emergencies.,2025-03-06,10.23,40595.73,1737462309.60
Design electrical or electronic systems or equipment.,2025-03-06,27.89,40437.05,4121417340.83
Test characteristics of materials or products.,2025-03-06,13.28,40207.21,2235462748.59
"Assist scientists, scholars, or technical specialists with projects or research.",2025-03-06,52.83,38618.35,2262244749.78
Design structures or facilities.,2025-03-06,23.31,38384.79,3764287713.81
Perform human resources activities.,2025-03-06,18.45,38160.54,2762907189.76
Operate industrial processing or production equipment.,2025-03-06,6.27,37838.24,2056946909.19
Record information about legal matters.,2025-03-06,21.22,37023.98,3148407074.01
"Coordinate group, community, or public activities.",2025-03-06,15.47,36966.31,2266115979.52
Coach others.,2025-03-06,49.12,35972.16,2133971760.94
Develop sustainable organizational or business policies or practices.,2025-03-06,20.04,35910.06,3813407968.98
Research healthcare issues.,2025-03-06,55.20,35541.49,3866318503.09
Inspect facilities or equipment.,2025-03-06,6.54,35278.41,2856440449.86
Order medical tests or procedures.,2025-03-06,29.98,35026.77,5486464385.40
"Interpret language, cultural, or religious information for others.",2025-03-06,70.15,34781.32,1976946813.15
Design databases.,2025-03-06,35.83,34482.92,3736165145.79
Create artistic designs or performances.,2025-03-06,52.71,34423.50,1970646016.72
Apply decorative finishes.,2025-03-06,51.61,31263.30,1739988635.93
Administer basic health care or medical treatments.,2025-03-06,3.94,31146.32,2695528388.39
Study details of artistic productions.,2025-03-06,64.43,30924.74,2229360418.56
"Investigate individuals' background, behavior, or activities.",2025-03-06,52.95,30296.87,1564212599.67
Diagnose health conditions or disorders.,2025-03-06,6.89,30267.72,3057916858.67
Examine people or animals to assess health conditions or physical characteristics.,2025-03-06,5.06,30213.53,4010333224.48
Position workpieces or materials on equipment.,2025-03-06,7.66,29695.14,1390362483.66
Cut materials.,2025-03-06,7.48,29240.26,1486847626.16
Present information in legal proceedings.,2025-03-06,14.16,27519.94,4134830349.86
Conduct amusement or gaming activities.,2025-03-06,54.92,27493.29,969936490.23
Assist healthcare practitioners during medical procedures.,2025-03-06,6.64,26913.74,2038712410.36
Mediate disputes.,2025-03-06,17.06,26884.17,1545553706.40
Resolve personnel or operational problems.,2025-03-06,10.52,26455.92,3023336552.37
"Develop news, entertainment, or artistic content.",2025-03-06,55.54,26248.05,1882913625.06
Obtain information about goods or services.,2025-03-06,64.44,24952.89,1880679946.38
Present arts or entertainment performances.,2025-03-06,22.10,23450.82,1851755034.66
Advise others on environmental sustainability or green practices.,2025-03-06,46.85,23401.42,2463847776.94
Apply materials to fill gaps or imperfections.,2025-03-06,9.79,22695.66,1116914173.98
"Treat injuries, illnesses, or diseases.",2025-03-06,4.46,22654.99,2827673561.75
Obtain formal documentation or authorization.,2025-03-06,54.92,22250.88,1316509155.65
Investigate organizational or operational problems.,2025-03-06,53.38,22013.60,1729226867.40
Repair vehicle components.,2025-03-06,3.55,21987.43,1169915163.67
Design industrial systems or equipment.,2025-03-06,15.01,21865.13,2290315297.25
Process animal carcasses.,2025-03-06,24.51,21493.01,839949824.79
Inspect vehicles.,2025-03-06,5.26,21406.16,1217669355.48
Develop public or community health programs.,2025-03-06,29.79,21179.98,2099864363.93
Develop scientific or mathematical theories or models.,2025-03-06,52.95,21107.07,2219629315.64
"Load products, materials, or equipment for transportation or further processing.",2025-03-06,5.52,20769.10,890347580.35
Advocate for individual or community needs.,2025-03-06,44.98,20627.64,1411715295.95
Investigate incidents or accidents.,2025-03-06,51.13,20437.88,1821638797.96
Assemble equipment or components.,2025-03-06,7.87,19819.46,1199845067.88
"Perform athletic activities for fitness, competition, or artistic purposes.",2025-03-06,49.81,18945.14,1223333892.34
Operate transportation equipment or vehicles.,2025-03-06,1.31,18917.45,1443524236.75
"Join parts using soldering, welding, or brazing techniques.",2025-03-06,5.59,18443.13,1152044460.93
Install energy or heating equipment.,2025-03-06,7.61,18417.30,1041193000.16
Evaluate project feasibility.,2025-03-06,25.95,18360.46,3039237527.55
Prepare medical equipment or work areas for use.,2025-03-06,11.42,18128.05,1449980852.38
Assist individuals with paperwork.,2025-03-06,54.67,17994.15,865164509.73
Operate audiovisual or related equipment.,2025-03-06,13.71,16450.37,730523116.36
Design materials or devices.,2025-03-06,50.78,16375.43,1480169616.61
Advise others on workplace health or safety issues.,2025-03-06,47.31,15491.90,1243032811.40
Fabricate devices or components.,2025-03-06,6.47,15046.45,731519801.19
Coordinate artistic or entertainment activities.,2025-03-06,17.49,14980.53,886027230.99
Perform court-related or other legal administrative activities.,2025-03-06,11.97,14877.13,907849879.36
Develop financial or business plans.,2025-03-06,25.09,14824.84,945405120.21
Perform general construction or extraction activities.,2025-03-06,2.79,14658.62,699657562.50
Investigate the environmental impact of industrial or development activities.,2025-03-06,14.63,14088.31,1147228445.32
Create decorative objects or parts of objects.,2025-03-06,51.40,13880.23,612843724.85
Apply protective solutions or coatings.,2025-03-06,3.85,13871.65,580253870.01
Research historical or social issues.,2025-03-06,57.10,13796.99,1311868078.14
Coordinate regulatory compliance activities.,2025-03-06,12.01,13459.67,1438026537.26
Communicate environmental or sustainability information.,2025-03-06,50.83,13267.34,1430335585.93
Maintain vehicles in working condition.,2025-03-06,3.29,13209.03,643208651.50
Serve on organizational committees.,2025-03-06,36.58,13184.30,1215597494.16
Prepare specimens or materials for testing.,2025-03-06,6.51,12220.47,849768528.19
Develop research plans or methodologies.,2025-03-06,28.03,12128.58,1174330466.33
Monitor environmental conditions.,2025-03-06,9.76,12120.81,413414004.85
Operate agricultural or forestry equipment.,2025-03-06,1.73,12072.18,481628361.77
Develop systems or practices to mitigate or resolve environmental problems.,2025-03-06,7.25,9403.22,975984691.40
Evaluate production inputs or outputs.,2025-03-06,4.02,8611.98,513768247.93
Prepare industrial materials for processing or use.,2025-03-06,3.86,8596.68,461230465.58
Direct vehicle traffic.,2025-03-06,4.25,8438.11,318334889.29
Operate laboratory or field equipment.,2025-03-06,11.34,8047.46,587364622.21
Prescribe medical treatments or devices.,2025-03-06,4.26,7592.94,1143567543.93
Teach safety procedures or standards to others.,2025-03-06,41.44,7474.65,354937899.65
Administer therapeutic treatments.,2025-03-06,2.41,6913.73,475854688.28
Maintain medical equipment or instruments.,2025-03-06,1.97,6718.19,562691476.17
"Clean workpieces, finished products, or other objects.",2025-03-06,3.28,6680.78,322252513.69
Research issues related to earth sciences.,2025-03-06,53.38,6324.09,535954252.32
"Discuss legal matters with clients, disputants, or legal professionals or staff.",2025-03-06,4.66,5954.68,881196333.47
Direct legal activities.,2025-03-06,7.41,5229.98,337913186.79
Gather information for news stories.,2025-03-06,53.38,5158.31,287772564.65
Alter audio or video recordings.,2025-03-06,21.48,4992.63,335027296.57
Operate pumping systems or equipment.,2025-03-06,6.63,4718.62,215171650.25
Analyze environmental or geospatial data.,2025-03-06,8.79,4705.83,374120090.19
Administer diagnostic tests to assess patient health.,2025-03-06,2.26,4429.41,345342628.31
"Develop safety standards, policies, or procedures.",2025-03-06,5.61,4283.00,533588500.62
Collect environmental or biological samples.,2025-03-06,5.23,3949.62,279258131.56
Follow standard healthcare safety procedures to protect patient and staff members.,2025-03-06,13.12,3784.62,283424451.94
Install plumbing or piping equipment or systems.,2025-03-06,7.06,3678.85,156476556.06
Assess compliance with environmental standards or regulations.,2025-03-06,19.20,3664.81,260786118.81
Fabricate medical devices.,2025-03-06,5.26,3543.65,540957716.99
Fit assistive devices to patients or clients.,2025-03-06,14.15,3220.79,149960142.31
Position tools or equipment.,2025-03-06,6.81,3184.97,187063133.21
Monitor traffic conditions.,2025-03-06,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2025-03-06,2.63,2821.13,177731086.73
Adjust medical equipment to ensure adequate performance.,2025-03-06,3.79,2713.49,445356863.22
Operate cutting or grinding equipment.,2025-03-06,3.05,2701.74,114086794.15
Drill holes in earth or materials.,2025-03-06,3.73,2649.09,105362240.79
Develop plans for managing or preserving natural resources.,2025-03-06,4.07,2642.38,334799487.07
Collect samples of products or materials.,2025-03-06,6.04,2358.77,119123332.60
Operate energy production or distribution equipment.,2025-03-06,5.99,2309.42,211868851.16
Record images with photographic or audiovisual equipment.,2025-03-06,18.03,2219.85,125710038.55
Signal others to coordinate work activities.,2025-03-06,1.79,2126.13,92812756.18
Build structures.,2025-03-06,0.82,2113.09,118827737.08
Develop contingency or emergency response plans.,2025-03-06,8.57,1896.70,156651027.09
Assess characteristics of land or property.,2025-03-06,2.62,1850.46,129903678.26
Assemble products or work aids.,2025-03-06,0.82,1483.29,65083960.72
Operate construction or excavation equipment.,2025-03-06,0.91,1388.23,68217586.56
Remove workpieces from production equipment.,2025-03-06,1.66,1323.79,60873056.34
Direct security or safety activities or operations.,2025-03-06,7.43,1280.88,93591802.39
Evaluate scholarly work.,2025-03-06,61.31,1273.14,97583657.62
Disassemble equipment.,2025-03-06,0.88,1102.42,72941935.38
Perform agricultural activities.,2025-03-06,2.70,964.15,34825202.46
Train animals.,2025-03-06,8.43,960.99,37238224.02
Make legal decisions.,2025-03-06,14.56,958.72,101356194.93
Research agricultural processes or practices.,2025-03-06,11.14,870.27,68221143.19
Process forensic or legal evidence.,2025-03-06,10.02,809.20,75725032.50
Repair workpieces or products.,2025-03-06,1.74,665.38,33061284.43
Apply hygienic or cosmetic agents to skin or hair.,2025-03-06,0.74,577.70,18653238.35
Draft legislation or regulations.,2025-03-06,20.63,558.49,25026000.72
Sew garments or materials.,2025-03-06,1.75,536.52,21922080.38
Cut trees or other vegetation.,2025-03-06,5.25,510.47,23785093.77
Operate lifting or moving equipment.,2025-03-06,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2025-03-06,1.76,305.73,18104657.10
Evaluate green technologies or processes.,2025-03-06,2.22,284.44,14751163.72
Clean medical equipment or facilities.,2025-03-06,0.77,200.47,20446355.79
Take physical measurements of patients or clients.,2025-03-06,14.50,160.86,5535276.50
Dispose of waste or debris.,2025-03-06,0.14,157.14,7721665.23
Administer emergency medical treatment.,2025-03-06,0.25,24.12,1567830.81
Test sites or materials for environmental hazards.,2025-03-06,0.01,8.24,594443.85
Tend watercraft.,2025-03-06,0.00,0.00,0.00
Supervise activities in correctional facilities.,2025-03-06,0.00,0.00,0.00
Manage control systems or activities.,2025-03-06,0.00,0.00,0.00
Groom or style hair.,2025-03-06,0.00,0.00,0.00
Hunt animals.,2025-03-06,0.00,0.00,0.00
Record information about environmental conditions.,2025-03-06,0.00,0.00,0.00
Embalm corpses.,2025-03-06,0.00,0.00,0.00
Engrave objects.,2025-03-06,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,2025-03-06,0.00,0.00,0.00
Climb equipment or structures.,2025-03-06,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,2025-03-06,0.00,0.00,0.00
Shape materials to create products.,2025-03-06,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,2025-03-06,0.00,0.00,0.00
Transport patients or clients.,2025-03-06,0.00,0.00,0.00
"Provide information to guests, clients, or customers.",2025-08-11,67.96,3095966.12,153144142441.54
Execute financial transactions.,2025-08-11,59.39,2616521.94,103517565671.10
Respond to customer problems or inquiries.,2025-08-11,72.34,2123382.91,109785622847.21
Prepare foods or beverages.,2025-08-11,59.15,2097048.89,71165933040.92
Communicate with others about operational plans or activities.,2025-08-11,55.64,1847870.72,107378266815.92
"Provide general assistance to others, such as customers, patrons, or motorists.",2025-08-11,60.84,1600533.42,62832715061.55
Determine values or prices of goods or services.,2025-08-11,62.96,1476613.36,70246372032.96
Read documents or materials to inform work processes.,2025-08-11,58.71,1313392.72,74384986682.83
Explain technical details of products or services.,2025-08-11,80.01,1272240.70,59825033692.39
"Prepare documentation for contracts, applications, or permits.",2025-08-11,67.32,1148709.33,57372405809.39
Maintain operational records.,2025-08-11,16.45,1021780.86,65173476706.41
Advise others on products or services.,2025-08-11,72.55,981763.47,72452726669.25
Purchase goods or services.,2025-08-11,55.77,978141.13,56921045968.99
Train others on operational or work procedures.,2025-08-11,50.48,921689.83,63035328645.39
"Direct organizational operations, activities, or procedures.",2025-08-11,18.59,915720.02,76819273028.14
Maintain current knowledge in area of expertise.,2025-08-11,64.41,894767.95,71328053534.46
Perform administrative or clerical activities.,2025-08-11,65.25,867840.33,47276820921.67
Monitor individual behavior or performance.,2025-08-11,56.73,826061.04,48754053518.99
Prepare informational or instructional materials.,2025-08-11,74.59,801637.11,53270845489.32
Evaluate the quality or accuracy of data.,2025-08-11,52.56,793578.45,46329066024.60
"Measure physical characteristics of materials, products, or equipment.",2025-08-11,52.46,770056.15,34802595779.26
"Promote products, services, or programs.",2025-08-11,70.44,702682.29,39130317966.22
"Develop organizational policies, systems, or processes.",2025-08-11,34.21,690813.09,73389936946.27
Maintain sales or financial records.,2025-08-11,24.96,667003.65,28703558935.76
Advise others on business or operational matters.,2025-08-11,58.08,663568.20,61217546254.43
Design computer or information systems or applications.,2025-08-11,72.33,659224.37,70624787313.16
Arrange displays or decorations.,2025-08-11,60.41,652204.00,26336931395.46
"Explain regulations, policies, or procedures.",2025-08-11,64.79,644015.48,44669691650.19
Teach academic or vocational subjects.,2025-08-11,56.25,640500.25,41306146733.86
Implement procedures or processes.,2025-08-11,70.61,633091.78,69128862351.41
Maintain health or medical records.,2025-08-11,30.18,631777.12,51556074537.21
Train others on health or medical topics.,2025-08-11,43.14,615013.40,32613999168.14
Analyze business or financial data.,2025-08-11,68.07,588135.12,53178544899.15
Operate office equipment.,2025-08-11,56.38,587832.73,26522456443.86
Process digital or online data.,2025-08-11,64.28,575438.63,38017138714.38
Schedule appointments.,2025-08-11,51.64,569133.85,25104953696.95
"Compile records, documentation, or other data.",2025-08-11,69.31,546427.73,34299091483.57
Analyze data to improve operations.,2025-08-11,36.91,545746.65,56294781930.66
Develop operational or technical procedures or standards.,2025-08-11,63.78,541676.49,55062702360.06
Adjust equipment to ensure adequate performance.,2025-08-11,55.76,528484.75,28940309575.64
"Develop educational programs, plans, or procedures.",2025-08-11,34.46,526406.64,33163396305.47
Assist others to access additional services or resources.,2025-08-11,53.80,509496.95,28143404721.17
Provide food or beverage services.,2025-08-11,18.41,507235.92,16261786440.90
Prepare mixtures or solutions.,2025-08-11,55.39,493267.85,21796937734.44
Create visual designs or displays.,2025-08-11,58.32,492181.71,36868624648.24
Collect data about consumer needs or opinions.,2025-08-11,51.69,476866.91,22585349758.83
Analyze health or medical data.,2025-08-11,59.82,467078.04,50441183105.91
Operate computer systems or computerized equipment.,2025-08-11,71.33,460570.07,23690164965.88
Maintain safety or security.,2025-08-11,45.04,458975.49,21384275794.51
Present research or technical information.,2025-08-11,69.17,457910.93,36077915888.75
Advise others on educational or vocational matters.,2025-08-11,63.64,453238.12,32175180738.00
Examine materials or documentation for accuracy or compliance.,2025-08-11,57.59,443817.71,26774853916.31
"Assess student capabilities, needs, or performance.",2025-08-11,58.00,436220.98,29832389926.10
"Distribute materials, supplies, or resources.",2025-08-11,53.84,435656.89,20274646503.49
Analyze market or industry conditions.,2025-08-11,74.16,431194.76,39156101405.37
Test performance of equipment or systems.,2025-08-11,55.84,424331.67,26906903940.56
Gather information from physical or electronic sources.,2025-08-11,69.00,414164.19,23218721790.74
Calculate financial data.,2025-08-11,63.30,410080.55,23977272105.78
Collect fares or payments.,2025-08-11,14.04,404884.47,17476692704.26
Explain medical information to patients or family members.,2025-08-11,59.72,395664.72,35236344463.50
Advise others on the design or use of technologies.,2025-08-11,66.08,394577.64,36880326028.46
Interview people to obtain information.,2025-08-11,46.98,370260.65,25441657123.53
Develop business or marketing plans.,2025-08-11,51.86,369232.02,40619994605.52
Determine resource needs of projects or operations.,2025-08-11,53.16,365016.34,30292367422.95
Inspect characteristics or conditions of materials or products.,2025-08-11,53.20,364966.20,18957432204.26
Select materials or equipment for operations or projects.,2025-08-11,55.40,358590.55,21231267956.79
Plan work activities.,2025-08-11,54.02,349946.57,23551781472.07
Assist individuals with special needs.,2025-08-11,4.17,344116.15,12349760593.41
Perform recruiting or hiring activities.,2025-08-11,34.91,332891.30,26374355465.16
Coordinate with others to resolve problems.,2025-08-11,55.03,309352.60,23995866686.14
Manage budgets or finances.,2025-08-11,36.98,304325.48,44820660448.90
Train others to use equipment or products.,2025-08-11,48.12,299856.05,19417854758.85
Counsel others about personal matters.,2025-08-11,49.99,294741.09,15823041723.30
Teach life skills.,2025-08-11,55.13,292341.79,12312650820.55
Supervise personnel activities.,2025-08-11,14.17,290405.55,21127681093.95
"Evaluate programs, practices, or processes.",2025-08-11,69.88,287243.35,27038536515.04
Gather data about operational or development activities.,2025-08-11,58.80,285883.59,26997732359.22
Prepare health or medical documents.,2025-08-11,45.41,284915.88,12939714349.29
Identify business or organizational opportunities.,2025-08-11,63.39,282303.58,23148486956.39
Communicate with others about specifications or project details.,2025-08-11,57.49,280744.84,25609412779.39
Monitor operation of computer or information technologies.,2025-08-11,65.25,280077.97,28057121594.51
Communicate with others about business strategies.,2025-08-11,59.72,280043.34,23864235437.52
Resolve computer problems.,2025-08-11,70.91,271087.80,24149989582.92
Investigate criminal or legal matters.,2025-08-11,54.09,255135.26,19263886421.18
Provide support or encouragement to others.,2025-08-11,50.01,248323.92,16799788116.51
Direct construction or extraction activities.,2025-08-11,21.40,246293.26,24189321027.53
Determine operational methods or procedures.,2025-08-11,59.62,242893.33,17299479129.64
"Monitor external affairs, trends, or events.",2025-08-11,63.40,232433.07,18660918028.28
Monitor financial data or activities.,2025-08-11,24.94,232223.83,17422294483.74
Prepare reports of operational or procedural activities.,2025-08-11,19.68,230335.66,19793301818.56
"Set up computer systems, networks, or other information systems.",2025-08-11,69.81,226604.36,17771841225.26
Assign work to others.,2025-08-11,8.12,222913.31,12101837233.08
Reconcile financial data.,2025-08-11,12.16,221544.69,9484373758.99
"Maintain electronic, computer, or other technical equipment.",2025-08-11,61.03,221385.74,18636331539.83
Monitor operations to ensure compliance with regulations or standards.,2025-08-11,19.53,220812.35,14990036659.95
Test performance of computer or information systems.,2025-08-11,66.30,220381.89,20991599658.77
Develop patient or client care or treatment plans.,2025-08-11,45.24,219790.38,23109779212.91
Manage human resources activities.,2025-08-11,24.98,217813.37,18362384285.80
Program computer systems or production equipment.,2025-08-11,69.52,213240.57,17958408119.13
Connect components or supply lines to equipment or tools.,2025-08-11,55.16,206861.16,11683641330.86
Sell products or services.,2025-08-11,18.61,204569.06,10281987842.52
Explain financial information.,2025-08-11,71.13,202994.37,14385825759.42
"Set up classrooms, facilities, educational materials, or equipment.",2025-08-11,33.05,198879.72,12298398260.75
Stock supplies or products.,2025-08-11,9.46,192848.65,9819136179.52
"Prepare financial documents, reports, or budgets.",2025-08-11,27.49,190880.89,16568140194.35
"Clean tools, equipment, facilities, or work areas.",2025-08-11,3.27,183790.40,7753035309.78
"Evaluate the characteristics, usefulness, or performance of products or technologies.",2025-08-11,60.14,183342.45,19654114437.92
"Examine financial activities, operations, or systems.",2025-08-11,15.48,181293.30,10133860113.69
Provide information or assistance to the public.,2025-08-11,64.39,180536.51,12782193022.43
"Evaluate designs, specifications, or other technical data.",2025-08-11,57.86,177150.09,18956827133.72
Maintain facilities or equipment.,2025-08-11,54.80,173108.47,8646194859.08
Set up equipment.,2025-08-11,59.48,171391.40,8002719167.07
"Monitor safety or security of work areas, facilities, or properties.",2025-08-11,10.64,171038.29,9198604635.03
Advise patients or clients on medical issues.,2025-08-11,55.50,169908.49,18634574988.39
Consult legal materials or public records.,2025-08-11,65.03,164888.08,17002299797.16
Verify personal information.,2025-08-11,49.31,163142.10,11416794194.43
Monitor resources or inventories.,2025-08-11,19.96,159950.42,10058973830.83
Advise others on legal or regulatory matters.,2025-08-11,54.09,159684.86,20534762841.06
Negotiate contracts or agreements.,2025-08-11,25.06,159508.42,12496133939.25
Write material for artistic or commercial purposes.,2025-08-11,77.81,156889.34,11668790940.15
Prepare legal or regulatory documents.,2025-08-11,38.76,156639.61,11385987292.06
Operate communications equipment or systems.,2025-08-11,54.03,155919.05,8185620745.10
Schedule operational activities.,2025-08-11,24.42,153011.69,9149909545.67
Sort materials or products.,2025-08-11,19.76,149633.46,7388725351.94
Process shipments or mail.,2025-08-11,17.58,148275.60,7820458232.43
Monitor equipment operation.,2025-08-11,6.33,148060.70,6699805534.02
Confer with healthcare or other professionals about patient care.,2025-08-11,15.60,146741.20,11520026820.62
Develop marketing or promotional materials.,2025-08-11,79.85,145107.74,11530423861.60
Notify others of emergencies or problems.,2025-08-11,8.80,144003.64,9273258530.43
"Research laws, precedents, or other legal data.",2025-08-11,84.64,138096.67,19496914443.86
"Inspect commercial, industrial, or production systems or equipment.",2025-08-11,8.46,136840.46,9140022692.29
Authorize business activities or transactions.,2025-08-11,31.60,135722.10,20139926005.67
Assist healthcare practitioners during medical procedures.,2025-08-11,11.02,135026.81,6954650181.58
Advise others on healthcare or wellness issues.,2025-08-11,49.49,133290.76,13277260705.84
Monitor health conditions of humans or animals.,2025-08-11,13.73,132931.66,10248719969.27
"Document technical designs, procedures, or activities.",2025-08-11,62.68,131479.45,13409544619.08
Develop recipes or menus.,2025-08-11,62.86,131125.85,5365917443.15
Develop professional relationships or networks.,2025-08-11,54.55,130632.18,11594274867.52
Advise others on financial matters.,2025-08-11,70.03,129825.53,10625238639.92
Analyze scientific or applied data using mathematical principles.,2025-08-11,70.59,125027.68,15228950905.04
Implement security measures for computer or information systems.,2025-08-11,64.76,123718.78,13305775687.85
Evaluate patient or client condition or treatment options.,2025-08-11,21.48,123032.75,8105851272.64
Develop organizational or program goals or objectives.,2025-08-11,36.58,122502.43,14196443657.37
Develop technical specifications for products or operations.,2025-08-11,63.80,122337.05,12031189769.78
